frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
167,0.0,265,451,0.0,669.0929,294,476,-7.8534,529.8429
168,0.0167,265,455,0.0,658.6217,294,480,-7.8534,519.3717
169,0.0334,265,460,0.0,645.5327,294,485,-7.8534,506.2827
170,0.0501,265,464,0.0,635.0615,294,489,-7.8534,495.8115
171,0.0668,265,468,0.0,624.5903,294,493,-7.8534,485.3403
172,0.0834,265,473,0.0,611.5013,294,498,-7.8534,472.2513
173,0.1001,265,478,0.0,598.4123,293,502,-10.4712,461.7801
174,0.1168,265,482,0.0,587.9411,293,507,-10.4712,448.6911
175,0.1335,265,487,0.0,574.8521,293,512,-10.4712,435.6021
176,0.1502,265,492,0.0,561.7631,293,517,-10.4712,422.5131
177,0.1668,265,497,0.0,548.6741,293,522,-10.4712,409.4241
178,0.1835,265,503,0.0,532.9673,292,528,-13.089,393.7173
179,0.2002,265,508,0.0,519.8783,293,533,-10.4712,380.6283
180,0.2169,265,513,0.0,506.7893,293,539,-10.4712,364.9215
181,0.2336,265,519,0.0,491.0825,293,544,-10.4712,351.8325
182,0.2503,264,525,-2.6178,475.3757,292,550,-13.089,336.1257
183,0.267,263,531,-5.2356,459.6688,292,556,-13.089,320.4188
184,0.2836,263,537,-5.2356,443.962,291,562,-15.7068,304.712
185,0.3003,263,543,-5.2356,428.2552,292,568,-13.089,289.0052
186,0.317,264,549,-2.6178,412.5484,292,574,-13.089,273.2984
187,0.3337,263,555,-5.2356,396.8416,291,580,-15.7068,257.5916
188,0.3504,263,562,-5.2356,378.517,292,587,-13.089,239.267
189,0.3671,263,568,-5.2356,362.8102,291,593,-15.7068,223.5602
190,0.3837,264,575,-2.6178,344.4856,290,600,-18.3246,205.2356
191,0.4004,264,582,-2.6178,326.161,291,607,-15.7068,186.911
192,0.4171,264,589,-2.6178,307.8364,291,614,-15.7068,168.5864
193,0.4338,263,596,-5.2356,289.5118,290,621,-18.3246,150.2618
194,0.4505,263,603,-5.2356,271.1872,290,628,-18.3246,131.9372
195,0.4671,263,611,-5.2356,250.2448,289,635,-20.9424,113.6126
196,0.4838,263,618,-5.2356,231.9202,289,643,-20.9424,92.6702
197,0.5005,263,626,-5.2356,210.9777,289,650,-20.9424,74.3455
198,0.5172,264,632,-2.6178,195.2709,289,656,-20.9424,58.6387
199,0.5339,264,628,-2.6178,205.7421,290,653,-18.3246,66.4921
200,0.5506,265,621,0.0,224.0668,290,646,-18.3246,84.8168
201,0.5673,267,614,5.2356,242.3914,290,639,-18.3246,103.1414
202,0.5839,268,607,7.8534,260.716,289,635,-20.9424,113.6126
203,0.6006,270,600,13.089,279.0406,289,630,-20.9424,126.7016
204,0.6173,271,594,15.7068,294.7474,289,625,-20.9424,139.7906
205,0.634,273,587,20.9424,313.072,289,621,-20.9424,150.2618
206,0.6507,273,581,20.9424,328.7788,289,617,-20.9424,160.733
207,0.6674,276,575,28.7958,344.4856,289,611,-20.9424,176.4398
208,0.684,277,568,31.4136,362.8102,290,606,-18.3246,189.5288
209,0.7007,278,562,34.0314,378.517,290,602,-18.3246,200.0
210,0.7174,280,556,39.267,394.2238,290,599,-18.3246,207.8534
211,0.7341,281,551,41.8848,407.3128,290,596,-18.3246,215.7068
212,0.7508,283,545,47.1204,423.0196,291,591,-15.7068,228.7958
213,0.7674,284,540,49.7382,436.1086,290,587,-18.3246,239.267
214,0.7841,286,534,54.9738,451.8154,290,584,-18.3246,247.1204
215,0.8008,287,529,57.5916,464.9045,291,580,-15.7068,257.5916
216,0.8175,289,524,62.8272,477.9935,290,577,-18.3246,265.445
217,0.8342,290,519,65.445,491.0825,290,573,-18.3246,275.9162
218,0.8509,292,514,70.6806,504.1715,290,571,-18.3246,281.1518
219,0.8676,293,509,73.2984,517.2605,290,568,-18.3246,289.0052
220,0.8842,294,505,75.9162,527.7317,290,565,-18.3246,296.8586
221,0.9009,295,500,78.534,540.8207,291,563,-15.7068,302.0942
222,0.9176,298,495,86.3874,553.9097,291,560,-15.7068,309.9476
223,0.9343,299,491,89.0052,564.3809,290,558,-18.3246,315.1832
224,0.951,300,487,91.623,574.8521,290,556,-18.3246,320.4188
225,0.9677,302,483,96.8586,585.3233,290,554,-18.3246,325.6545
226,0.9843,303,478,99.4764,598.4123,290,551,-18.3246,333.5079
227,1.001,305,474,104.712,608.8835,290,550,-18.3246,336.1257
228,1.0177,306,471,107.3298,616.7369,290,548,-18.3246,341.3613
229,1.0344,308,468,112.5654,624.5903,290,546,-18.3246,346.5969
230,1.0511,309,464,115.1832,635.0615,290,544,-18.3246,351.8325
231,1.0677,309,461,115.1832,642.9149,290,543,-18.3246,354.4503
232,1.0844,311,457,120.4188,653.3861,290,541,-18.3246,359.6859
233,1.1011,313,454,125.6545,661.2395,289,540,-20.9424,362.3037
234,1.1178,314,452,128.2723,666.4751,290,539,-18.3246,364.9215
235,1.1345,316,449,133.5079,674.3285,289,536,-20.9424,372.7749
236,1.1512,317,446,136.1257,682.1819,289,536,-20.9424,372.7749
237,1.1678,318,443,138.7435,690.0353,288,536,-23.5602,372.7749
238,1.1845,319,441,141.3613,695.2709,290,535,-18.3246,375.3927
239,1.2012,321,438,146.5969,703.1243,288,535,-23.5602,375.3927
240,1.2179,322,436,149.2147,708.3599,289,534,-20.9424,378.0105
241,1.2346,323,434,151.8325,713.5955,289,533,-20.9424,380.6283
242,1.2513,324,432,154.4503,718.8312,289,533,-20.9424,380.6283
243,1.268,326,430,159.6859,724.0668,289,533,-20.9424,380.6283
244,1.2846,327,428,162.3037,729.3024,289,534,-20.9424,378.0105
245,1.3013,329,426,167.5393,734.538,288,534,-23.5602,378.0105
246,1.318,329,425,167.5393,737.1558,288,534,-23.5602,378.0105
247,1.3347,331,424,172.7749,739.7736,289,535,-20.9424,375.3927
248,1.3514,333,423,178.0105,742.3914,288,534,-23.5602,378.0105
249,1.3681,334,421,180.6283,747.627,288,536,-23.5602,372.7749
250,1.3847,335,421,183.2461,747.627,288,536,-23.5602,372.7749
251,1.4014,337,420,188.4817,750.2448,288,537,-23.5602,370.1571
252,1.4181,338,419,191.0995,752.8626,288,538,-23.5602,367.5393
253,1.4348,340,418,196.3351,755.4804,288,539,-23.5602,364.9215
254,1.4515,341,418,198.9529,755.4804,288,540,-23.5602,362.3037
255,1.4681,343,418,204.1885,755.4804,288,542,-23.5602,357.0681
256,1.4848,344,418,206.8063,755.4804,288,543,-23.5602,354.4503
257,1.5015,346,418,212.0419,755.4804,288,545,-23.5602,349.2147
258,1.5182,347,418,214.6597,755.4804,288,547,-23.5602,343.9791
259,1.5349,348,418,217.2775,755.4804,288,549,-23.5602,338.7435
260,1.5516,350,418,222.5131,755.4804,288,550,-23.5602,336.1257
261,1.5683,351,419,225.1309,752.8626,288,553,-23.5602,328.2723
262,1.5849,354,419,232.9843,752.8626,288,555,-23.5602,323.0366
263,1.6016,355,420,235.6021,750.2448,288,558,-23.5602,315.1832
264,1.6183,355,421,235.6021,747.627,288,561,-23.5602,307.3298
265,1.635,358,422,243.4555,745.0092,288,562,-23.5602,304.712
266,1.6517,359,423,246.0733,742.3914,288,565,-23.5602,296.8586
267,1.6684,361,425,251.3089,737.1558,288,568,-23.5602,289.0052
