frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
215,0.0,240,305,2.6178,1290.0353,279,330,28.7958,1156.0209
216,0.0167,241,308,5.2356,1282.1819,279,334,28.7958,1145.5497
217,0.0334,242,313,7.8534,1269.0929,279,338,28.7958,1135.0785
218,0.0501,242,317,7.8534,1258.6217,280,342,31.4136,1124.6073
219,0.0668,242,321,7.8534,1248.1505,279,347,28.7958,1111.5183
220,0.0834,242,325,7.8534,1237.6793,280,351,31.4136,1101.0471
221,0.1001,242,330,7.8534,1224.5903,280,355,31.4136,1090.5759
222,0.1168,242,334,7.8534,1214.1191,280,360,31.4136,1077.4869
223,0.1335,242,339,7.8534,1201.0301,280,364,31.4136,1067.0157
224,0.1502,241,344,5.2356,1187.9411,280,369,31.4136,1053.9267
225,0.1669,242,349,7.8534,1174.8521,280,375,31.4136,1038.2199
226,0.1835,242,355,7.8534,1159.1453,280,379,31.4136,1027.7487
227,0.2002,243,360,10.4712,1146.0563,280,385,31.4136,1012.0419
228,0.2169,243,365,10.4712,1132.9673,280,390,31.4136,998.9529
229,0.2336,243,371,10.4712,1117.2605,280,396,31.4136,983.2461
230,0.2503,243,376,10.4712,1104.1715,280,401,31.4136,970.1571
231,0.2669,243,382,10.4712,1088.4647,280,407,31.4136,954.4503
232,0.2836,243,388,10.4712,1072.7579,279,413,28.7958,938.7435
233,0.3003,243,394,10.4712,1057.051,280,419,31.4136,923.0366
234,0.317,244,400,13.089,1041.3442,280,425,31.4136,907.3298
235,0.3337,244,406,13.089,1025.6374,269,431,2.6178,891.623
236,0.3504,244,412,13.089,1009.9306,280,437,31.4136,875.9162
237,0.367,243,419,10.4712,991.606,280,444,31.4136,857.5916
238,0.3837,244,426,13.089,973.2814,280,451,31.4136,839.267
239,0.4004,244,432,13.089,957.5746,280,458,31.4136,820.9424
240,0.4171,244,439,13.089,939.25,279,465,28.7958,802.6178
241,0.4338,245,446,15.7068,920.9254,280,472,31.4136,784.2932
242,0.4505,245,454,15.7068,899.983,280,479,31.4136,765.9686
243,0.4672,245,461,15.7068,881.6584,280,486,31.4136,747.644
244,0.4838,244,468,13.089,863.3338,281,493,34.0314,729.3194
245,0.5005,244,476,13.089,842.3914,281,501,34.0314,708.377
246,0.5172,245,483,15.7068,824.0668,281,509,34.0314,687.4346
247,0.5339,244,491,13.089,803.1243,281,517,34.0314,666.4921
248,0.5506,244,499,13.089,782.1819,280,524,31.4136,648.1675
249,0.5673,244,507,13.089,761.2395,280,532,31.4136,627.2251
250,0.5839,245,515,15.7068,740.2971,280,541,31.4136,603.6649
251,0.6006,245,523,15.7068,719.3547,273,549,13.089,582.7225
252,0.6173,246,532,18.3246,695.7945,269,557,2.6178,561.7801
253,0.634,245,540,15.7068,674.8521,269,566,2.6178,538.2199
254,0.6507,246,549,18.3246,651.2919,270,574,5.2356,517.2775
255,0.6673,245,558,15.7068,627.7317,268,582,0.0,496.3351
256,0.684,246,566,18.3246,606.7893,281,591,34.0314,472.7749
257,0.7007,246,575,18.3246,583.2291,269,602,2.6178,443.9791
258,0.7174,246,585,18.3246,557.051,269,609,2.6178,425.6545
259,0.7341,246,594,18.3246,533.4908,271,620,7.8534,396.8586
260,0.7508,245,603,15.7068,509.9306,271,628,7.8534,375.9162
261,0.7675,246,613,18.3246,483.7526,271,637,7.8534,352.356
262,0.7841,246,622,18.3246,460.1924,281,647,34.0314,326.178
263,0.8008,246,632,18.3246,434.0144,281,657,34.0314,300.0
264,0.8175,246,642,18.3246,407.8364,280,667,31.4136,273.822
265,0.8342,245,652,15.7068,381.6584,281,677,34.0314,247.644
266,0.8509,246,662,18.3246,355.4804,268,687,0.0,221.466
267,0.8676,246,673,18.3246,326.6846,281,699,34.0314,190.0524
268,0.8842,246,683,18.3246,300.5065,280,708,31.4136,166.4921
269,0.9009,246,694,18.3246,271.7107,280,719,31.4136,137.6963
270,0.9176,246,705,18.3246,242.9149,279,729,28.7958,111.5183
271,0.9343,246,715,18.3246,216.7369,280,740,31.4136,82.7225
272,0.951,245,726,15.7068,187.9411,280,751,31.4136,53.9267
273,0.9676,245,726,,,271,762,7.8534,25.1309
274,0.9843,245,726,,,281,770,34.0314,4.1885
275,1.001,245,726,,,285,776,44.5026,-11.5183
276,1.0177,245,726,,,280,768,31.4136,9.4241
277,1.0344,245,726,,,280,758,31.4136,35.6021
278,1.0511,245,726,,,280,750,31.4136,56.5445
279,1.0678,245,726,,,280,744,31.4136,72.2513
280,1.0844,260,690,54.9738,282.1819,278,738,26.178,87.9581
281,1.1011,264,676,65.445,318.8312,279,730,28.7958,108.9005
282,1.1178,267,663,73.2984,352.8626,277,725,23.5602,121.9895
283,1.1345,270,650,81.1518,386.894,279,718,28.7958,140.3141
284,1.1512,273,637,89.0052,420.9254,277,712,23.5602,156.0209
285,1.1679,277,625,99.4764,452.339,277,708,23.5602,166.4921
286,1.1845,281,612,109.9476,486.3704,277,702,23.5602,182.199
287,1.2012,284,600,117.801,517.784,276,697,20.9424,195.288
288,1.2179,287,588,125.6545,549.1976,275,692,18.3246,208.377
289,1.2346,290,576,133.5079,580.6113,276,686,20.9424,224.0838
290,1.2513,293,564,141.3613,612.0249,275,681,18.3246,237.1728
291,1.2679,297,551,151.8325,646.0563,275,677,18.3246,247.644
292,1.2846,299,539,157.0681,677.4699,275,672,18.3246,260.733
293,1.3013,303,527,167.5393,708.8835,274,667,15.7068,273.822
294,1.318,306,515,175.3927,740.2971,274,663,15.7068,284.2932
295,1.3347,309,503,183.2461,771.7107,274,658,15.7068,297.3822
296,1.3514,313,491,193.7173,803.1243,274,654,15.7068,307.8534
297,1.3681,316,479,201.5707,834.538,274,650,15.7068,318.3246
298,1.3847,319,468,209.4241,863.3338,272,646,10.4712,328.7958
299,1.4014,323,456,219.8953,894.7474,272,642,10.4712,339.267
300,1.4181,328,445,232.9843,923.5432,271,638,7.8534,349.7382
301,1.4348,331,433,240.8377,954.9568,272,634,10.4712,360.2094
302,1.4515,333,422,246.0733,983.7526,272,631,10.4712,368.0628
303,1.4682,336,411,253.9267,1012.5484,271,628,7.8534,375.9162
304,1.4848,339,400,261.7801,1041.3442,270,625,5.2356,383.7696
305,1.5015,343,389,272.2513,1070.1401,270,619,5.2356,399.4764
306,1.5182,346,378,280.1047,1098.9359,270,618,5.2356,402.0942
307,1.5349,350,367,290.5759,1127.7317,269,615,2.6178,409.9476
308,1.5516,352,356,295.8115,1156.5275,270,612,5.2356,417.801
309,1.5682,357,346,308.9005,1182.7055,268,610,0.0,423.0366
310,1.5849,361,336,319.3717,1208.8835,267,607,-2.6178,430.8901
311,1.6016,365,326,329.8429,1235.0615,268,605,0.0,436.1257
312,1.6183,369,315,340.3141,1263.8573,268,603,0.0,441.3613
313,1.635,372,305,348.1675,1290.0353,268,601,0.0,446.5969
314,1.6517,375,295,356.0209,1316.2134,267,599,-2.6178,451.8325
315,1.6684,379,285,366.4921,1342.3914,267,597,-2.6178,457.0681
316,1.685,382,275,374.3455,1368.5694,265,595,-7.8534,462.3037
317,1.7017,385,266,382.199,1392.1296,264,593,-10.4712,467.5393
318,1.7184,389,256,392.6702,1418.3076,266,591,-5.2356,472.7749
319,1.7351,391,246,397.9058,1444.4856,264,590,-10.4712,475.3927
320,1.7518,395,236,408.377,1470.6636,265,589,-7.8534,478.0105
321,1.7685,400,227,421.466,1494.2238,264,587,-10.4712,483.2461
322,1.7851,402,217,426.7016,1520.4018,263,586,-13.089,485.8639
323,1.8018,406,209,437.1728,1541.3442,263,586,-13.089,485.8639
324,1.8185,410,199,447.644,1567.5223,263,585,-13.089,488.4817
325,1.8352,414,190,458.1152,1591.0825,263,584,-13.089,491.0995
326,1.8519,418,181,468.5864,1614.6427,262,584,-15.7068,491.0995
327,1.8685,422,172,479.0576,1638.2029,261,589,-18.3246,478.0105
328,1.8852,425,163,486.911,1661.7631,261,583,-18.3246,493.7173
329,1.9019,429,155,497.3822,1682.7055,261,583,-18.3246,493.7173
330,1.9186,431,146,502.6178,1706.2657,261,583,-18.3246,493.7173
331,1.9353,436,138,515.7068,1727.2081,260,584,-20.9424,491.0995
332,1.952,440,129,526.178,1750.7683,260,583,-20.9424,493.7173
333,1.9687,444,121,536.6492,1771.7107,260,583,-20.9424,493.7173
334,1.9853,447,113,544.5026,1792.6531,260,583,-20.9424,493.7173
335,2.002,453,107,560.2094,1808.3599,260,584,-20.9424,491.0995
336,2.0187,456,99,568.0628,1829.3024,259,585,-23.5602,488.4817
337,2.0354,460,91,578.534,1850.2448,258,586,-26.178,485.8639
338,2.0521,464,85,589.0052,1865.9516,259,587,-23.5602,483.2461
339,2.0688,468,78,599.4764,1884.2762,258,588,-26.178,480.6283
340,2.0854,471,70,607.3298,1905.2186,258,624,-26.178,386.3874
341,2.1021,476,63,620.4188,1923.5432,258,626,-26.178,381.1518
342,2.1188,479,56,628.2723,1941.8678,257,595,-28.7958,462.3037
343,2.1355,483,49,638.7435,1960.1924,257,603,-28.7958,441.3613
344,2.1522,487,43,649.2147,1975.8992,256,599,-31.4136,451.8325
345,2.1688,490,34,657.0681,1999.4594,256,597,-31.4136,457.0681
346,2.1855,494,28,667.5393,2015.1662,256,609,-31.4136,425.6545
347,2.2022,497,23,675.3927,2028.2552,256,601,-31.4136,446.5969
348,2.2189,497,23,,,255,608,-34.0314,428.2723
349,2.2356,497,23,,,255,614,-34.0314,412.5654
350,2.2523,497,23,,,254,612,-36.6492,417.801
351,2.269,497,23,,,254,631,-36.6492,368.0628
352,2.2856,497,23,,,253,617,-39.267,404.712
353,2.3023,497,23,,,253,616,-39.267,407.3298
354,2.319,497,23,,,253,623,-39.267,389.0052
355,2.3357,497,23,,,252,622,-41.8848,391.623
356,2.3524,497,23,,,251,629,-44.5026,373.2984
357,2.3691,497,23,,,252,627,-41.8848,378.534
358,2.3857,497,23,,,252,631,-41.8848,368.0628
359,2.4024,497,23,,,250,635,-47.1204,357.5916
360,2.4191,497,23,,,251,638,-44.5026,349.7382
