frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
219,0.0,266,451,10.4712,679.5641,297,475,20.9424,542.9319
220,0.0166,266,455,10.4712,669.0929,296,479,18.3246,532.4607
221,0.0333,266,459,10.4712,658.6217,296,484,18.3246,519.3717
222,0.05,266,463,10.4712,648.1505,296,488,18.3246,508.9005
223,0.0667,266,467,10.4712,637.6793,296,492,18.3246,498.4293
224,0.0834,266,472,10.4712,624.5903,296,496,18.3246,487.9581
225,0.1001,266,476,10.4712,614.1191,296,501,18.3246,474.8691
226,0.1167,265,481,7.8534,601.0301,296,506,18.3246,461.7801
227,0.1334,266,485,10.4712,590.5589,296,510,18.3246,451.3089
228,0.1501,266,491,10.4712,574.8521,296,515,18.3246,438.2199
229,0.1668,265,496,7.8534,561.7631,296,521,18.3246,422.5131
230,0.1835,266,501,10.4712,548.6741,296,526,18.3246,409.4241
231,0.2001,266,506,10.4712,535.5851,296,531,18.3246,396.3351
232,0.2168,266,512,10.4712,519.8783,296,537,18.3246,380.6283
233,0.2335,266,517,10.4712,506.7893,296,542,18.3246,367.5393
234,0.2502,266,523,10.4712,491.0825,296,548,18.3246,351.8325
235,0.2669,266,529,10.4712,475.3757,296,554,18.3246,336.1257
236,0.2836,266,535,10.4712,459.6688,296,560,18.3246,320.4188
237,0.3002,266,541,10.4712,443.962,296,566,18.3246,304.712
238,0.3169,267,547,13.089,428.2552,296,572,18.3246,289.0052
239,0.3336,267,553,13.089,412.5484,296,578,18.3246,273.2984
240,0.3503,266,560,10.4712,394.2238,294,585,13.089,254.9738
241,0.367,267,567,13.089,375.8992,296,591,18.3246,239.267
242,0.3837,266,573,10.4712,360.1924,295,598,15.7068,220.9424
243,0.4004,266,580,10.4712,341.8678,295,605,15.7068,202.6178
244,0.417,266,587,10.4712,323.5432,296,612,18.3246,184.2932
245,0.4337,267,594,13.089,305.2186,296,619,18.3246,165.9686
246,0.4504,266,601,10.4712,286.894,296,626,18.3246,147.644
247,0.4671,267,609,13.089,265.9516,296,633,18.3246,129.3194
248,0.4838,267,616,13.089,247.627,296,641,18.3246,108.377
249,0.5005,267,623,13.089,229.3024,296,648,18.3246,90.0524
250,0.5171,267,631,13.089,208.3599,296,656,18.3246,69.1099
251,0.5338,267,633,13.089,203.1243,295,658,15.7068,63.8743
252,0.5505,269,627,18.3246,218.8312,295,652,15.7068,79.5812
253,0.5672,271,618,23.5602,242.3914,295,644,15.7068,100.5236
254,0.5839,273,608,28.7958,268.5694,295,639,15.7068,113.6126
255,0.6005,275,599,34.0314,292.1296,296,634,18.3246,126.7016
256,0.6172,278,590,41.8848,315.6898,296,632,18.3246,131.9372
257,0.6339,281,581,49.7382,339.25,296,626,18.3246,147.644
258,0.6506,284,572,57.5916,362.8102,295,622,15.7068,158.1152
259,0.6673,286,563,62.8272,386.3704,295,618,15.7068,168.5864
260,0.684,288,555,68.0628,407.3128,295,614,15.7068,179.0576
261,0.7007,290,546,73.2984,430.873,295,611,15.7068,186.911
262,0.7173,292,538,78.534,451.8154,295,607,15.7068,197.3822
263,0.734,295,530,86.3874,472.7579,294,603,13.089,207.8534
264,0.7507,297,522,91.623,493.7003,294,600,13.089,215.7068
265,0.7674,299,514,96.8586,514.6427,294,597,13.089,223.5602
266,0.7841,302,507,104.712,532.9673,294,594,13.089,231.4136
267,0.8008,304,498,109.9476,556.5275,294,590,13.089,241.8848
268,0.8174,306,491,115.1832,574.8521,295,589,15.7068,244.5026
269,0.8341,308,484,120.4188,593.1767,293,587,10.4712,249.7382
270,0.8508,310,475,125.6545,616.7369,294,583,13.089,260.2094
271,0.8675,313,469,133.5079,632.4437,294,582,13.089,262.8272
272,0.8842,314,462,136.1257,650.7683,293,580,10.4712,268.0628
273,0.9008,313,456,133.5079,666.4751,293,576,10.4712,278.534
274,0.9175,315,450,138.7435,682.1819,292,575,7.8534,281.1518
275,0.9342,316,445,141.3613,695.2709,292,574,7.8534,283.7696
276,0.9509,317,439,143.9791,710.9777,293,572,10.4712,289.0052
277,0.9676,317,433,143.9791,726.6846,293,569,10.4712,296.8586
278,0.9843,318,427,146.5969,742.3914,293,567,10.4712,302.0942
279,1.001,319,422,149.2147,755.4804,292,566,7.8534,304.712
280,1.0176,319,416,149.2147,771.1872,292,564,7.8534,309.9476
281,1.0343,320,411,151.8325,784.2762,292,563,7.8534,312.5654
282,1.051,321,406,154.4503,797.3652,291,562,5.2356,315.1832
283,1.0677,322,401,157.0681,810.4542,291,560,5.2356,320.4188
284,1.0844,323,396,159.6859,823.5432,291,559,5.2356,323.0366
285,1.1011,323,391,159.6859,836.6322,291,559,5.2356,323.0366
286,1.1177,324,386,162.3037,849.7212,291,558,5.2356,325.6545
287,1.1344,325,381,164.9215,862.8102,291,557,5.2356,328.2723
288,1.1511,326,377,167.5393,873.2814,291,557,5.2356,328.2723
289,1.1678,326,373,167.5393,883.7526,291,557,5.2356,328.2723
290,1.1845,327,368,170.1571,896.8416,291,556,5.2356,330.8901
291,1.2011,328,364,172.7749,907.3128,291,557,5.2356,328.2723
292,1.2178,328,360,172.7749,917.784,291,557,5.2356,328.2723
293,1.2345,329,356,175.3927,928.2552,291,557,5.2356,328.2723
294,1.2512,330,353,178.0105,936.1086,291,557,5.2356,328.2723
295,1.2679,331,349,180.6283,946.5798,290,557,2.6178,328.2723
296,1.2846,332,345,183.2461,957.051,290,558,2.6178,325.6545
297,1.3013,333,342,185.8639,964.9045,290,559,2.6178,323.0366
298,1.3179,333,339,185.8639,972.7579,289,560,0.0,320.4188
299,1.3346,334,336,188.4817,980.6113,289,561,0.0,317.801
300,1.3513,335,332,191.0995,991.0825,288,561,-2.6178,317.801
301,1.368,336,330,193.7173,996.3181,289,563,0.0,312.5654
302,1.3847,336,327,193.7173,1004.1715,289,565,0.0,307.3298
303,1.4014,337,324,196.3351,1012.0249,289,566,0.0,304.712
304,1.418,338,322,198.9529,1017.2605,288,566,-2.6178,304.712
305,1.4347,339,319,201.5707,1025.1139,289,568,0.0,299.4764
306,1.4514,340,317,204.1885,1030.3495,289,570,0.0,294.2408
307,1.4681,340,315,204.1885,1035.5851,289,572,0.0,289.0052
308,1.4848,340,313,204.1885,1040.8207,288,574,-2.6178,283.7696
309,1.5014,342,311,209.4241,1046.0563,288,577,-2.6178,275.9162
310,1.5181,342,309,209.4241,1051.2919,288,579,-2.6178,270.6806
311,1.5348,343,307,212.0419,1056.5275,287,582,-5.2356,262.8272
312,1.5515,343,306,212.0419,1059.1453,288,583,-2.6178,260.2094
313,1.5682,345,304,217.2775,1064.3809,287,586,-5.2356,252.356
314,1.5849,346,303,219.8953,1066.9987,287,589,-5.2356,244.5026
