frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
194,0.0,271,476,10.4712,882.1819,299,501,18.3246,742.9319
195,0.0166,272,480,13.089,871.7107,299,505,18.3246,732.4607
196,0.0333,271,484,10.4712,861.2395,300,510,20.9424,719.3717
197,0.05,272,488,13.089,850.7683,299,514,18.3246,708.9005
198,0.0667,272,492,13.089,840.2971,300,518,20.9424,698.4293
199,0.0834,272,497,13.089,827.2081,300,522,20.9424,687.9581
200,0.1001,272,501,13.089,816.7369,300,527,20.9424,674.8691
201,0.1168,272,506,13.089,803.6479,300,532,20.9424,661.7801
202,0.1334,273,511,15.7068,790.5589,300,536,20.9424,651.3089
203,0.1501,272,516,13.089,777.4699,300,541,20.9424,638.2199
204,0.1668,273,521,15.7068,764.3809,300,546,20.9424,625.1309
205,0.1835,273,526,15.7068,751.2919,300,551,20.9424,612.0419
206,0.2002,273,532,15.7068,735.5851,301,557,23.5602,596.3351
207,0.2169,274,537,18.3246,722.4961,301,562,23.5602,583.2461
208,0.2335,274,542,18.3246,709.4071,301,568,23.5602,567.5393
209,0.2502,274,548,18.3246,693.7003,301,573,23.5602,554.4503
210,0.2669,273,554,15.7068,677.9935,301,579,23.5602,538.7435
211,0.2836,274,560,18.3246,662.2866,300,585,20.9424,523.0366
212,0.3003,274,566,18.3246,646.5798,300,591,20.9424,507.3298
213,0.3169,274,572,18.3246,630.873,300,598,20.9424,489.0052
214,0.3336,274,578,18.3246,615.1662,301,604,23.5602,473.2984
215,0.3503,274,585,18.3246,596.8416,301,610,23.5602,457.5916
216,0.367,273,592,15.7068,578.517,301,617,23.5602,439.267
217,0.3837,274,598,18.3246,562.8102,301,623,23.5602,423.5602
218,0.4004,275,605,20.9424,544.4856,301,630,23.5602,405.2356
219,0.4171,275,612,20.9424,526.161,301,637,23.5602,386.911
220,0.4337,274,619,18.3246,507.8364,300,645,20.9424,365.9686
221,0.4504,274,626,18.3246,489.5118,300,652,20.9424,347.644
222,0.4671,275,633,20.9424,471.1872,300,659,20.9424,329.3194
223,0.4838,275,641,20.9424,450.2448,300,666,20.9424,310.9948
224,0.5005,276,648,23.5602,431.9202,300,674,20.9424,290.0524
225,0.5172,275,656,20.9424,410.9777,301,682,23.5602,269.1099
226,0.5338,276,664,23.5602,390.0353,300,690,20.9424,248.1675
227,0.5505,276,672,23.5602,369.0929,301,697,23.5602,229.8429
228,0.5672,275,680,20.9424,348.1505,301,706,23.5602,206.2827
229,0.5839,276,688,23.5602,327.2081,301,714,23.5602,185.3403
230,0.6006,276,697,23.5602,303.6479,301,722,23.5602,164.3979
231,0.6172,276,705,23.5602,282.7055,301,730,23.5602,143.4555
232,0.6339,276,714,23.5602,259.1453,301,739,23.5602,119.8953
233,0.6506,277,723,26.178,235.5851,301,748,23.5602,96.3351
234,0.6673,277,732,26.178,212.0249,301,757,23.5602,72.7749
235,0.684,277,740,26.178,191.0825,301,766,23.5602,49.2147
