frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
84,0.0,271,428,0.0,739.25,304,452,-2.6178,602.6178
85,0.0167,271,428,0.0,739.25,303,452,-5.2356,602.6178
86,0.0334,271,428,0.0,739.25,466,439,421.466,636.6492
87,0.0501,270,428,-2.6178,739.25,302,452,-7.8534,602.6178
88,0.0667,270,428,-2.6178,739.25,466,377,421.466,798.9529
89,0.0834,271,428,0.0,739.25,466,377,421.466,798.9529
90,0.1001,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
91,0.1168,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
92,0.1335,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
93,0.1501,270,428,-2.6178,739.25,302,452,-7.8534,602.6178
94,0.1668,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
95,0.1835,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
96,0.2002,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
97,0.2169,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
98,0.2336,271,428,0.0,739.25,303,452,-5.2356,602.6178
99,0.2503,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
100,0.2669,270,428,-2.6178,739.25,302,452,-7.8534,602.6178
101,0.2836,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
102,0.3003,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
103,0.317,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
104,0.3337,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
105,0.3504,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
106,0.367,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
107,0.3837,271,428,0.0,739.25,303,452,-5.2356,602.6178
108,0.4004,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
109,0.4171,270,428,-2.6178,739.25,302,452,-7.8534,602.6178
110,0.4338,270,428,-2.6178,739.25,302,452,-7.8534,602.6178
111,0.4504,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
112,0.4671,269,428,-5.2356,739.25,303,452,-5.2356,602.6178
113,0.4838,269,428,-5.2356,739.25,302,452,-7.8534,602.6178
114,0.5005,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
115,0.5172,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
116,0.5339,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
117,0.5506,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
118,0.5672,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
119,0.5839,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
120,0.6006,270,428,-2.6178,739.25,303,453,-5.2356,600.0
121,0.6173,271,428,0.0,739.25,305,452,0.0,602.6178
122,0.634,270,428,-2.6178,739.25,303,453,-5.2356,600.0
123,0.6506,270,428,-2.6178,739.25,305,453,0.0,600.0
124,0.6673,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
125,0.684,270,428,-2.6178,739.25,303,453,-5.2356,600.0
126,0.7007,270,428,-2.6178,739.25,303,453,-5.2356,600.0
127,0.7174,270,428,-2.6178,739.25,303,453,-5.2356,600.0
128,0.7341,270,428,-2.6178,739.25,303,453,-5.2356,600.0
129,0.7508,270,428,-2.6178,739.25,303,453,-5.2356,600.0
130,0.7674,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
131,0.7841,270,428,-2.6178,739.25,303,453,-5.2356,600.0
132,0.8008,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
133,0.8175,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
134,0.8342,270,428,-2.6178,739.25,303,453,-5.2356,600.0
135,0.8509,270,428,-2.6178,739.25,303,453,-5.2356,600.0
136,0.8675,270,428,-2.6178,739.25,303,453,-5.2356,600.0
137,0.8842,270,428,-2.6178,739.25,303,453,-5.2356,600.0
138,0.9009,270,428,-2.6178,739.25,303,453,-5.2356,600.0
139,0.9176,270,428,-2.6178,739.25,303,452,-5.2356,602.6178
