frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
131,0.0,257,431,-2.6178,984.7997,294,456,2.6178,845.5497
132,0.0167,257,435,-2.6178,974.3285,294,460,2.6178,835.0785
133,0.0334,257,440,-2.6178,961.2395,294,465,2.6178,821.9895
134,0.0501,257,444,-2.6178,950.7683,294,469,2.6178,811.5183
135,0.0668,257,448,-2.6178,940.2971,294,473,2.6178,801.0471
136,0.0834,257,453,-2.6178,927.2081,295,478,5.2356,787.9581
137,0.1001,257,457,-2.6178,916.7369,294,483,2.6178,774.8691
138,0.1168,257,462,-2.6178,903.6479,295,487,5.2356,764.3979
139,0.1335,257,467,-2.6178,890.5589,295,492,5.2356,751.3089
140,0.1502,257,472,-2.6178,877.4699,295,497,5.2356,738.2199
141,0.1668,257,477,-2.6178,864.3809,295,502,5.2356,725.1309
142,0.1835,258,482,0.0,851.2919,295,508,5.2356,709.4241
143,0.2002,258,488,0.0,835.5851,296,513,7.8534,696.3351
144,0.2169,258,493,0.0,822.4961,295,519,5.2356,680.6283
145,0.2336,258,499,0.0,806.7893,296,524,7.8534,667.5393
146,0.2503,258,505,0.0,791.0825,294,530,2.6178,651.8325
147,0.267,258,511,0.0,775.3757,296,536,7.8534,636.1257
148,0.2836,259,517,2.6178,759.6688,296,542,7.8534,620.4188
149,0.3003,259,523,2.6178,743.962,296,548,7.8534,604.712
150,0.317,259,529,2.6178,728.2552,297,553,10.4712,591.623
151,0.3337,259,536,2.6178,709.9306,296,559,7.8534,575.9162
152,0.3504,259,542,2.6178,694.2238,297,566,10.4712,557.5916
153,0.3671,258,548,0.0,678.517,296,574,7.8534,536.6492
154,0.3837,259,555,2.6178,660.1924,297,581,10.4712,518.3246
155,0.4004,259,562,2.6178,641.8678,297,588,10.4712,500.0
156,0.4171,259,570,2.6178,620.9254,297,595,10.4712,481.6754
157,0.4338,260,576,5.2356,605.2186,298,602,13.089,463.3508
158,0.4505,260,584,5.2356,584.2762,298,609,13.089,445.0262
159,0.4671,259,591,2.6178,565.9516,297,617,10.4712,424.0838
160,0.4838,260,599,5.2356,545.0092,297,624,10.4712,405.7592
161,0.5005,260,606,5.2356,526.6846,297,632,10.4712,384.8168
162,0.5172,260,614,5.2356,505.7421,298,639,13.089,366.4921
163,0.5339,260,622,5.2356,484.7997,298,648,13.089,342.9319
164,0.5506,260,630,5.2356,463.8573,298,656,13.089,321.9895
165,0.5673,259,638,2.6178,442.9149,298,664,13.089,301.0471
166,0.5839,259,647,2.6178,419.3547,298,672,13.089,280.1047
167,0.6006,260,655,5.2356,398.4123,298,680,13.089,259.1623
168,0.6173,260,663,5.2356,377.4699,298,688,13.089,238.2199
169,0.634,260,672,5.2356,353.9097,298,697,13.089,214.6597
170,0.6507,260,680,5.2356,332.9673,298,706,13.089,191.0995
171,0.6674,260,690,5.2356,306.7893,298,714,13.089,170.1571
172,0.684,260,699,5.2356,283.2291,299,723,15.7068,146.5969
173,0.7007,260,708,5.2356,259.6688,299,732,15.7068,123.0366
174,0.7174,261,716,7.8534,238.7264,299,742,15.7068,96.8586
175,0.7341,260,726,5.2356,212.5484,298,751,13.089,73.2984
176,0.7508,261,735,7.8534,188.9882,298,760,13.089,49.7382
177,0.7674,260,745,5.2356,162.8102,300,770,18.3246,23.5602
178,0.7841,260,748,5.2356,154.9568,300,773,18.3246,15.7068
179,0.8008,261,741,7.8534,173.2814,298,765,13.089,36.6492
180,0.8175,261,729,7.8534,204.695,298,758,13.089,54.9738
181,0.8342,262,717,10.4712,236.1086,297,753,10.4712,68.0628
182,0.8509,263,705,13.089,267.5223,296,747,7.8534,83.7696
183,0.8676,264,693,15.7068,298.9359,297,741,10.4712,99.4764
184,0.8842,265,681,18.3246,330.3495,297,736,10.4712,112.5654
185,0.9009,266,669,20.9424,361.7631,297,731,10.4712,125.6545
186,0.9176,267,657,23.5602,393.1767,296,726,7.8534,138.7435
187,0.9343,268,646,26.178,421.9725,296,720,7.8534,154.4503
188,0.951,268,634,26.178,453.3861,296,716,7.8534,164.9215
189,0.9677,270,623,31.4136,482.1819,296,711,7.8534,178.0105
190,0.9843,270,612,31.4136,510.9777,296,707,7.8534,188.4817
191,1.001,272,601,36.6492,539.7736,296,702,7.8534,201.5707
192,1.0177,273,590,39.267,568.5694,296,698,7.8534,212.0419
193,1.0344,273,579,39.267,597.3652,295,694,5.2356,222.5131
194,1.0511,275,569,44.5026,623.5432,295,690,5.2356,232.9843
195,1.0677,276,558,47.1204,652.339,296,686,7.8534,243.4555
196,1.0844,276,548,47.1204,678.517,296,681,7.8534,256.5445
197,1.1011,278,538,52.356,704.695,295,677,5.2356,267.0157
198,1.1178,278,528,52.356,730.873,294,674,2.6178,274.8691
199,1.1345,280,518,57.5916,757.051,295,670,5.2356,285.3403
200,1.1512,281,508,60.2094,783.2291,294,667,2.6178,293.1937
201,1.1679,282,499,62.8272,806.7893,295,664,5.2356,301.0471
202,1.1845,282,490,62.8272,830.3495,295,661,5.2356,308.9005
203,1.2012,284,480,68.0628,856.5275,295,659,5.2356,314.1361
204,1.2179,285,471,70.6806,880.0877,295,656,5.2356,321.9895
205,1.2346,286,462,73.2984,903.6479,295,653,5.2356,329.8429
206,1.2513,287,453,75.9162,927.2081,294,651,2.6178,335.0785
207,1.268,288,444,78.534,950.7683,294,649,2.6178,340.3141
208,1.2846,288,435,78.534,974.3285,294,646,2.6178,348.1675
209,1.3013,289,426,81.1518,997.8887,294,644,2.6178,353.4031
210,1.318,290,417,83.7696,1021.449,293,641,0.0,361.2565
211,1.3347,291,409,86.3874,1042.3914,293,639,0.0,366.4921
212,1.3514,292,401,89.0052,1063.3338,294,639,2.6178,366.4921
213,1.368,293,393,91.623,1084.2762,293,636,0.0,374.3455
