frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
152,0.0,260,491,7.8534,579.5641,288,515,0.0,442.9319
153,0.0167,260,495,7.8534,569.0929,289,519,2.6178,432.4607
154,0.0333,260,499,7.8534,558.6217,288,524,0.0,419.3717
155,0.05,260,503,7.8534,548.1505,288,528,0.0,408.9005
156,0.0667,260,507,7.8534,537.6793,288,532,0.0,398.4293
157,0.0834,260,512,7.8534,524.5903,288,537,0.0,385.3403
158,0.1001,260,516,7.8534,514.1191,288,541,0.0,374.8691
159,0.1167,260,521,7.8534,501.0301,287,546,-2.6178,361.7801
160,0.1334,260,526,7.8534,487.9411,288,551,0.0,348.6911
161,0.1501,260,531,7.8534,474.8521,288,556,0.0,335.6021
162,0.1668,260,536,7.8534,461.7631,288,561,0.0,322.5131
163,0.1835,260,541,7.8534,448.6741,288,566,0.0,309.4241
164,0.2002,261,546,10.4712,435.5851,288,571,0.0,296.3351
165,0.2169,261,552,10.4712,419.8783,288,576,0.0,283.2461
166,0.2335,261,557,10.4712,406.7893,288,582,0.0,267.5393
167,0.2502,261,563,10.4712,391.0825,288,588,0.0,251.8325
168,0.2669,261,568,10.4712,377.9935,288,593,0.0,238.7435
169,0.2836,261,574,10.4712,362.2866,287,599,-2.6178,223.0366
170,0.3003,260,580,7.8534,346.5798,288,605,0.0,207.3298
171,0.317,260,587,7.8534,328.2552,287,612,-2.6178,189.0052
172,0.3336,260,593,7.8534,312.5484,287,618,-2.6178,173.2984
173,0.3503,260,599,7.8534,296.8416,287,624,-2.6178,157.5916
174,0.367,261,606,10.4712,278.517,287,631,-2.6178,139.267
175,0.3837,261,612,10.4712,262.8102,287,637,-2.6178,123.5602
176,0.4004,261,619,10.4712,244.4856,287,644,-2.6178,105.2356
177,0.417,261,626,10.4712,226.161,287,651,-2.6178,86.911
178,0.4337,261,633,10.4712,207.8364,287,658,-2.6178,68.5864
179,0.4504,262,632,13.089,210.4542,287,656,-2.6178,73.822
180,0.4671,263,625,15.7068,228.7788,286,651,-5.2356,86.911
181,0.4838,264,618,18.3246,247.1034,286,645,-5.2356,102.6178
182,0.5005,265,612,20.9424,262.8102,286,639,-5.2356,118.3246
183,0.5172,265,605,20.9424,281.1348,286,635,-5.2356,128.7958
184,0.5338,267,599,26.178,296.8416,286,631,-5.2356,139.267
185,0.5505,268,592,28.7958,315.1662,286,626,-5.2356,152.356
186,0.5672,270,586,34.0314,330.873,286,623,-5.2356,160.2094
187,0.5839,271,580,36.6492,346.5798,286,619,-5.2356,170.6806
188,0.6006,272,574,39.267,362.2866,286,615,-5.2356,181.1518
189,0.6173,273,568,41.8848,377.9935,287,612,-2.6178,189.0052
190,0.6339,274,562,44.5026,393.7003,287,607,-2.6178,202.0942
191,0.6506,276,557,49.7382,406.7893,287,604,-2.6178,209.9476
192,0.6673,277,551,52.356,422.4961,286,601,-5.2356,217.801
193,0.684,279,546,57.5916,435.5851,286,595,-5.2356,233.5079
194,0.7007,280,540,60.2094,451.2919,286,593,-5.2356,238.7435
195,0.7173,280,535,60.2094,464.3809,286,590,-5.2356,246.5969
196,0.734,282,530,65.445,477.4699,286,589,-5.2356,249.2147
197,0.7507,283,525,68.0628,490.5589,285,586,-7.8534,257.0681
198,0.7674,285,520,73.2984,503.6479,287,583,-2.6178,264.9215
199,0.7841,285,516,73.2984,514.1191,286,581,-5.2356,270.1571
200,0.8008,286,511,75.9162,527.2081,287,579,-2.6178,275.3927
201,0.8175,287,507,78.534,537.6793,287,577,-2.6178,280.6283
202,0.8341,289,503,83.7696,548.1505,286,575,-5.2356,285.8639
203,0.8508,290,498,86.3874,561.2395,286,573,-5.2356,291.0995
204,0.8675,292,494,91.623,571.7107,286,571,-5.2356,296.3351
205,0.8842,293,490,94.2408,582.1819,286,569,-5.2356,301.5707
206,0.9009,293,487,94.2408,590.0353,286,567,-5.2356,306.8063
207,0.9176,295,483,99.4764,600.5065,287,566,-2.6178,309.4241
208,0.9342,297,479,104.712,610.9777,286,564,-5.2356,314.6597
209,0.9509,298,476,107.3298,618.8312,286,563,-5.2356,317.2775
210,0.9676,300,473,112.5654,626.6846,286,563,-5.2356,317.2775
211,0.9843,301,470,115.1832,634.538,286,561,-5.2356,322.5131
212,1.001,301,467,115.1832,642.3914,286,560,-5.2356,325.1309
213,1.0176,303,464,120.4188,650.2448,286,558,-5.2356,330.3665
214,1.0343,304,461,123.0366,658.0982,286,559,-5.2356,327.7487
