frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
198,0.0,263,458,2.6178,656.0039,293,483,10.4712,514.1361
199,0.0167,263,462,2.6178,645.5327,293,487,10.4712,503.6649
200,0.0334,263,467,2.6178,632.4437,293,491,10.4712,493.1937
201,0.0501,264,471,5.2356,621.9725,292,496,7.8534,480.1047
202,0.0667,264,476,5.2356,608.8835,293,500,10.4712,469.6335
203,0.0834,264,481,5.2356,595.7945,293,505,10.4712,456.5445
204,0.1001,265,485,7.8534,585.3233,293,510,10.4712,443.4555
205,0.1168,265,490,7.8534,572.2343,292,515,7.8534,430.3665
206,0.1335,265,496,7.8534,556.5275,292,520,7.8534,417.2775
207,0.1502,265,501,7.8534,543.4385,292,525,7.8534,404.1885
208,0.1668,265,506,7.8534,530.3495,293,531,10.4712,388.4817
209,0.1835,264,512,5.2356,514.6427,292,536,7.8534,375.3927
210,0.2002,265,517,7.8534,501.5537,293,542,10.4712,359.6859
211,0.2169,265,523,7.8534,485.8469,293,547,10.4712,346.5969
212,0.2336,265,529,7.8534,470.1401,293,553,10.4712,330.8901
213,0.2502,265,535,7.8534,454.4332,293,559,10.4712,315.1832
214,0.2669,265,541,7.8534,438.7264,291,565,5.2356,299.4764
215,0.2836,265,547,7.8534,423.0196,291,571,5.2356,283.7696
216,0.3003,265,553,7.8534,407.3128,291,578,5.2356,265.445
217,0.317,265,559,7.8534,391.606,292,584,7.8534,249.7382
218,0.3337,264,566,5.2356,373.2814,292,590,7.8534,234.0314
219,0.3504,264,572,5.2356,357.5746,291,597,5.2356,215.7068
220,0.367,265,579,7.8534,339.25,292,604,7.8534,197.3822
221,0.3837,264,586,5.2356,320.9254,290,611,2.6178,179.0576
222,0.4004,264,593,5.2356,302.6008,292,617,7.8534,163.3508
223,0.4171,265,600,7.8534,284.2762,292,625,7.8534,142.4084
224,0.4338,264,607,5.2356,265.9516,292,632,7.8534,124.0838
225,0.4505,264,615,5.2356,245.0092,290,639,2.6178,105.7592
226,0.4671,264,622,5.2356,226.6846,290,647,2.6178,84.8168
227,0.4838,264,630,5.2356,205.7421,289,654,0.0,66.4921
228,0.5005,265,633,7.8534,197.8887,290,658,2.6178,56.0209
229,0.5172,266,627,10.4712,213.5955,289,652,0.0,71.7277
230,0.5339,268,619,15.7068,234.538,288,645,-2.6178,90.0524
231,0.5505,270,612,20.9424,252.8626,288,639,-2.6178,105.7592
232,0.5672,272,604,26.178,273.805,288,634,-2.6178,118.8482
233,0.5839,273,597,28.7958,292.1296,288,629,-2.6178,131.9372
234,0.6006,275,589,34.0314,313.072,288,625,-2.6178,142.4084
235,0.6173,277,582,39.267,331.3966,287,619,-5.2356,158.1152
236,0.634,279,575,44.5026,349.7212,288,615,-2.6178,168.5864
237,0.6506,281,568,49.7382,368.0458,289,611,0.0,179.0576
