frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
115,0.0,253,354,0.0,1184.2762,288,378,0.0,1047.644
116,0.0167,253,356,0.0,1179.0406,289,380,2.6178,1042.4084
117,0.0334,253,359,0.0,1171.1872,288,385,0.0,1029.3194
118,0.05,253,361,0.0,1165.9516,289,386,2.6178,1026.7016
119,0.0667,253,364,0.0,1158.0982,288,388,0.0,1021.466
120,0.0834,252,367,-2.6178,1150.2448,288,393,0.0,1008.377
121,0.1001,252,369,-2.6178,1145.0092,288,396,0.0,1000.5236
122,0.1168,253,372,0.0,1137.1558,289,399,2.6178,992.6702
123,0.1334,253,376,0.0,1126.6846,289,402,2.6178,984.8168
124,0.1501,252,379,-2.6178,1118.8312,289,405,2.6178,976.9634
125,0.1668,252,382,-2.6178,1110.9777,289,409,2.6178,966.4921
126,0.1835,252,386,-2.6178,1100.5065,289,412,2.6178,958.6387
127,0.2002,252,390,-2.6178,1090.0353,254,415,-89.0052,950.7853
128,0.2169,252,394,-2.6178,1079.5641,289,419,2.6178,940.3141
129,0.2336,252,398,-2.6178,1069.0929,289,423,2.6178,929.8429
130,0.2502,253,402,0.0,1058.6217,289,427,2.6178,919.3717
131,0.2669,253,406,0.0,1048.1505,289,431,2.6178,908.9005
132,0.2836,253,410,0.0,1037.6793,289,436,2.6178,895.8115
133,0.3003,253,415,0.0,1024.5903,290,439,5.2356,887.9581
134,0.317,253,419,0.0,1014.1191,290,444,5.2356,874.8691
135,0.3337,253,424,0.0,1001.0301,290,449,5.2356,861.7801
136,0.3503,253,429,0.0,987.9411,290,454,5.2356,848.6911
137,0.367,253,434,0.0,974.8521,290,459,5.2356,835.6021
138,0.3837,253,440,0.0,959.1453,290,464,5.2356,822.5131
139,0.4004,253,445,0.0,946.0563,290,469,5.2356,809.4241
140,0.4171,254,450,2.6178,932.9673,290,474,5.2356,796.3351
141,0.4337,253,456,0.0,917.2605,290,480,5.2356,780.6283
142,0.4504,253,461,0.0,904.1715,291,486,7.8534,764.9215
143,0.4671,254,467,2.6178,888.4647,291,491,7.8534,751.8325
144,0.4838,254,473,2.6178,872.7579,291,498,7.8534,733.5079
145,0.5005,254,479,2.6178,857.051,291,503,7.8534,720.4188
146,0.5172,254,485,2.6178,841.3442,291,509,7.8534,704.712
147,0.5339,254,491,2.6178,825.6374,291,516,7.8534,686.3874
148,0.5505,254,497,2.6178,809.9306,291,522,7.8534,670.6806
149,0.5672,254,504,2.6178,791.606,291,529,7.8534,652.356
150,0.5839,255,510,5.2356,775.8992,291,536,7.8534,634.0314
151,0.6006,255,517,5.2356,757.5746,291,542,7.8534,618.3246
152,0.6173,255,524,5.2356,739.25,291,549,7.8534,600.0
153,0.634,255,531,5.2356,720.9254,291,556,7.8534,581.6754
154,0.6506,255,538,5.2356,702.6008,291,563,7.8534,563.3508
155,0.6673,255,545,5.2356,684.2762,291,570,7.8534,545.0262
156,0.684,255,552,5.2356,665.9516,291,578,7.8534,524.0838
157,0.7007,255,560,5.2356,645.0092,291,586,7.8534,503.1414
158,0.7174,254,568,2.6178,624.0668,292,593,10.4712,484.8168
159,0.734,254,575,2.6178,605.7421,291,601,7.8534,463.8743
160,0.7507,255,583,5.2356,584.7997,292,608,10.4712,445.5497
161,0.7674,255,591,5.2356,563.8573,292,616,10.4712,424.6073
162,0.7841,255,599,5.2356,542.9149,292,624,10.4712,403.6649
163,0.8008,255,607,5.2356,521.9725,292,632,10.4712,382.7225
164,0.8175,255,616,5.2356,498.4123,292,641,10.4712,359.1623
165,0.8342,255,624,5.2356,477.4699,292,649,10.4712,338.2199
166,0.8508,255,633,5.2356,453.9097,292,658,10.4712,314.6597
167,0.8675,255,641,5.2356,432.9673,292,666,10.4712,293.7173
168,0.8842,255,650,5.2356,409.4071,292,675,10.4712,270.1571
169,0.9009,255,659,5.2356,385.8469,292,684,10.4712,246.5969
170,0.9176,254,668,2.6178,362.2866,292,692,10.4712,225.6545
171,0.9343,255,677,5.2356,338.7264,292,702,10.4712,199.4764
172,0.9509,255,686,5.2356,315.1662,293,712,13.089,173.2984
173,0.9676,255,696,5.2356,288.9882,293,721,13.089,149.7382
174,0.9843,254,705,2.6178,265.428,293,730,13.089,126.178
175,1.001,254,715,2.6178,239.25,293,740,13.089,100.0
176,1.0177,254,725,2.6178,213.072,293,750,13.089,73.822
177,1.0343,253,735,0.0,186.894,293,759,13.089,50.2618
