frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
98,0.0,255,372,-7.8534,1142.3914,292,396,7.8534,1005.7592
99,0.0167,255,375,-7.8534,1134.538,292,399,7.8534,997.9058
100,0.0333,255,378,-7.8534,1126.6846,293,404,10.4712,984.8168
101,0.05,256,382,-5.2356,1116.2134,292,407,7.8534,976.9634
102,0.0667,256,385,-5.2356,1108.3599,293,410,10.4712,969.1099
103,0.0834,256,389,-5.2356,1097.8887,292,414,7.8534,958.6387
104,0.1001,256,393,-5.2356,1087.4175,292,417,7.8534,950.7853
105,0.1168,256,397,-5.2356,1076.9463,293,421,10.4712,940.3141
106,0.1334,256,401,-5.2356,1066.4751,293,426,10.4712,927.2251
107,0.1501,256,405,-5.2356,1056.0039,293,430,10.4712,916.7539
108,0.1668,256,409,-5.2356,1045.5327,293,433,10.4712,908.9005
109,0.1835,255,413,-7.8534,1035.0615,293,439,10.4712,893.1937
110,0.2002,256,418,-5.2356,1021.9725,293,443,10.4712,882.7225
111,0.2168,257,422,-2.6178,1011.5013,293,448,10.4712,869.6335
112,0.2335,256,427,-5.2356,998.4123,293,452,10.4712,859.1623
113,0.2502,257,432,-2.6178,985.3233,293,457,10.4712,846.0733
114,0.2669,257,437,-2.6178,972.2343,292,462,7.8534,832.9843
115,0.2836,256,442,-5.2356,959.1453,292,467,7.8534,819.8953
116,0.3003,256,448,-5.2356,943.4385,292,473,7.8534,804.1885
117,0.317,257,453,-2.6178,930.3495,292,478,7.8534,791.0995
118,0.3336,257,458,-2.6178,917.2605,293,483,10.4712,778.0105
119,0.3503,257,464,-2.6178,901.5537,292,489,7.8534,762.3037
120,0.367,257,470,-2.6178,885.8469,293,495,10.4712,746.5969
121,0.3837,257,475,-2.6178,872.7579,293,500,10.4712,733.5079
122,0.4004,257,482,-2.6178,854.4332,293,506,10.4712,717.801
123,0.417,257,488,-2.6178,838.7264,292,512,7.8534,702.0942
124,0.4337,257,494,-2.6178,823.0196,292,518,7.8534,686.3874
125,0.4504,257,500,-2.6178,807.3128,293,525,10.4712,668.0628
126,0.4671,257,507,-2.6178,788.9882,292,531,7.8534,652.356
127,0.4838,257,513,-2.6178,773.2814,292,538,7.8534,634.0314
128,0.5005,257,520,-2.6178,754.9568,291,544,5.2356,618.3246
129,0.5172,257,527,-2.6178,736.6322,292,552,7.8534,597.3822
130,0.5338,257,534,-2.6178,718.3076,292,559,7.8534,579.0576
131,0.5505,256,541,-5.2356,699.983,292,565,7.8534,563.3508
132,0.5672,257,548,-2.6178,681.6584,293,573,10.4712,542.4084
133,0.5839,256,556,-5.2356,660.716,291,580,5.2356,524.0838
134,0.6006,257,563,-2.6178,642.3914,291,587,5.2356,505.7592
135,0.6173,256,571,-5.2356,621.449,291,595,5.2356,484.8168
136,0.6339,256,579,-5.2356,600.5065,290,603,2.6178,463.8743
137,0.6506,256,586,-5.2356,582.1819,291,610,5.2356,445.5497
138,0.6673,257,594,-2.6178,561.2395,291,618,5.2356,424.6073
139,0.684,257,602,-2.6178,540.2971,291,626,5.2356,403.6649
140,0.7007,257,611,-2.6178,516.7369,290,635,2.6178,380.1047
141,0.7173,257,619,-2.6178,495.7945,290,642,2.6178,361.7801
142,0.734,257,628,-2.6178,472.2343,290,651,2.6178,338.2199
