frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
175,0.0,243,298,5.2356,1305.7421,281,323,26.178,1166.4921
176,0.0167,243,302,5.2356,1295.2709,281,326,26.178,1158.6387
177,0.0333,243,305,5.2356,1287.4175,281,331,26.178,1145.5497
178,0.05,243,309,5.2356,1276.9463,281,334,26.178,1137.6963
179,0.0667,243,313,5.2356,1266.4751,281,339,26.178,1124.6073
180,0.0834,242,318,2.6178,1253.3861,281,343,26.178,1114.1361
181,0.1001,242,322,2.6178,1242.9149,281,347,26.178,1103.6649
182,0.1168,242,327,2.6178,1229.8259,281,351,26.178,1093.1937
183,0.1335,243,331,5.2356,1219.3547,281,356,26.178,1080.1047
184,0.1501,243,336,5.2356,1206.2657,281,361,26.178,1067.0157
185,0.1668,243,341,5.2356,1193.1767,281,365,26.178,1056.5445
186,0.1835,243,346,5.2356,1180.0877,281,370,26.178,1043.4555
187,0.2002,243,351,5.2356,1166.9987,281,375,26.178,1030.3665
188,0.2169,243,356,5.2356,1153.9097,281,380,26.178,1017.2775
189,0.2336,243,361,5.2356,1140.8207,281,386,26.178,1001.5707
190,0.2502,243,366,5.2356,1127.7317,281,391,26.178,988.4817
191,0.2669,243,372,5.2356,1112.0249,281,396,26.178,975.3927
192,0.2836,243,378,5.2356,1096.3181,281,402,26.178,959.6859
193,0.3003,243,383,5.2356,1083.2291,281,408,26.178,943.9791
194,0.317,243,389,5.2356,1067.5223,281,414,26.178,928.2723
195,0.3336,242,395,2.6178,1051.8154,281,420,26.178,912.5654
196,0.3503,242,401,2.6178,1036.1086,281,426,26.178,896.8586
197,0.367,243,408,5.2356,1017.784,281,432,26.178,881.1518
198,0.3837,242,414,2.6178,1002.0772,281,439,26.178,862.8272
199,0.4004,242,421,2.6178,983.7526,281,445,26.178,847.1204
200,0.4171,242,427,2.6178,968.0458,281,452,26.178,828.7958
201,0.4338,242,434,2.6178,949.7212,281,459,26.178,810.4712
202,0.4504,243,441,5.2356,931.3966,281,466,26.178,792.1466
203,0.4671,243,448,5.2356,913.072,281,473,26.178,773.822
204,0.4838,243,455,5.2356,894.7474,281,480,26.178,755.4974
205,0.5005,243,462,5.2356,876.4228,281,487,26.178,737.1728
206,0.5172,243,470,5.2356,855.4804,281,494,26.178,718.8482
207,0.5339,243,477,5.2356,837.1558,281,502,26.178,697.9058
208,0.5505,243,485,5.2356,816.2134,281,510,26.178,676.9634
209,0.5672,243,493,5.2356,795.2709,282,518,28.7958,656.0209
210,0.5839,242,501,2.6178,774.3285,281,525,26.178,637.6963
211,0.6006,242,509,2.6178,753.3861,273,533,5.2356,616.7539
212,0.6173,243,517,5.2356,732.4437,280,542,23.5602,593.1937
213,0.6339,243,525,5.2356,711.5013,281,550,26.178,572.2513
214,0.6506,243,534,5.2356,687.9411,276,558,13.089,551.3089
215,0.6673,243,543,5.2356,664.3809,275,567,10.4712,527.7487
216,0.684,243,551,5.2356,643.4385,275,575,10.4712,506.8063
217,0.7007,243,560,5.2356,619.8783,463,331,502.6178,1145.5497
218,0.7174,243,569,5.2356,596.3181,277,593,15.7068,459.6859
219,0.7341,243,578,5.2356,572.7579,463,374,502.6178,1032.9843
220,0.7507,243,587,5.2356,549.1976,463,335,502.6178,1135.0785
221,0.7674,243,597,5.2356,523.0196,462,335,500.0,1135.0785
222,0.7841,243,606,5.2356,499.4594,274,630,7.8534,362.8272
223,0.8008,243,616,5.2356,473.2814,275,640,10.4712,336.6492
224,0.8175,243,625,5.2356,449.7212,283,650,31.4136,310.4712
225,0.8342,242,635,2.6178,423.5432,277,659,15.7068,286.911
226,0.8508,242,645,2.6178,397.3652,283,668,31.4136,263.3508
227,0.8675,241,655,0.0,371.1872,283,679,31.4136,234.555
228,0.8842,241,665,0.0,345.0092,277,689,15.7068,208.377
229,0.9009,242,676,2.6178,316.2134,273,699,5.2356,182.199
