frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
237,0.0,256,386,5.2356,1090.0353,289,412,7.8534,945.5497
238,0.0167,256,390,5.2356,1079.5641,290,416,10.4712,935.0785
239,0.0334,256,395,5.2356,1066.4751,290,420,10.4712,924.6073
240,0.0501,256,398,5.2356,1058.6217,290,424,10.4712,914.1361
241,0.0668,257,403,7.8534,1045.5327,290,428,10.4712,903.6649
242,0.0835,257,407,7.8534,1035.0615,290,433,10.4712,890.5759
243,0.1002,257,412,7.8534,1021.9725,290,438,10.4712,877.4869
244,0.1168,257,416,7.8534,1011.5013,290,442,10.4712,867.0157
245,0.1335,257,421,7.8534,998.4123,290,447,10.4712,853.9267
246,0.1502,257,426,7.8534,985.3233,290,452,10.4712,840.8377
247,0.1669,257,431,7.8534,972.2343,290,457,10.4712,827.7487
248,0.1836,257,436,7.8534,959.1453,290,462,10.4712,814.6597
249,0.2003,257,441,7.8534,946.0563,290,467,10.4712,801.5707
250,0.2169,258,447,10.4712,930.3495,290,473,10.4712,785.8639
251,0.2336,258,452,10.4712,917.2605,290,478,10.4712,772.7749
252,0.2503,258,458,10.4712,901.5537,291,484,13.089,757.0681
253,0.267,258,463,10.4712,888.4647,291,490,13.089,741.3613
254,0.2837,258,469,10.4712,872.7579,291,495,13.089,728.2723
255,0.3003,258,475,10.4712,857.051,291,501,13.089,712.5654
256,0.317,258,481,10.4712,841.3442,291,508,13.089,694.2408
257,0.3337,258,488,10.4712,823.0196,291,514,13.089,678.534
258,0.3504,258,494,10.4712,807.3128,291,520,13.089,662.8272
259,0.3671,259,501,13.089,788.9882,290,527,10.4712,644.5026
260,0.3838,259,507,13.089,773.2814,290,533,10.4712,628.7958
261,0.4005,259,514,13.089,754.9568,290,540,10.4712,610.4712
262,0.4171,259,521,13.089,736.6322,290,547,10.4712,592.1466
