frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
169,0.0,253,506,5.2356,556.0039,286,531,23.5602,419.3717
170,0.0167,253,510,5.2356,545.5327,285,534,20.9424,411.5183
171,0.0334,253,515,5.2356,532.4437,286,540,23.5602,395.8115
172,0.05,253,519,5.2356,521.9725,285,544,20.9424,385.3403
173,0.0667,253,524,5.2356,508.8835,285,549,20.9424,372.2513
174,0.0834,253,528,5.2356,498.4123,285,553,20.9424,361.7801
175,0.1001,253,533,5.2356,485.3233,285,558,20.9424,348.6911
176,0.1168,253,538,5.2356,472.2343,285,563,20.9424,335.6021
177,0.1334,253,543,5.2356,459.1453,285,568,20.9424,322.5131
178,0.1501,253,548,5.2356,446.0563,285,574,20.9424,306.8063
179,0.1668,253,554,5.2356,430.3495,284,579,18.3246,293.7173
180,0.1835,253,559,5.2356,417.2605,286,584,23.5602,280.6283
181,0.2002,253,565,5.2356,401.5537,285,589,20.9424,267.5393
182,0.2169,253,571,5.2356,385.8469,285,596,20.9424,249.2147
183,0.2336,253,576,5.2356,372.7579,285,601,20.9424,236.1257
184,0.2502,252,582,2.6178,357.051,286,607,23.5602,220.4188
185,0.2669,252,589,2.6178,338.7264,286,614,23.5602,202.0942
186,0.2836,253,595,5.2356,323.0196,286,620,23.5602,186.3874
187,0.3003,253,601,5.2356,307.3128,286,626,23.5602,170.6806
188,0.317,253,608,5.2356,288.9882,286,633,23.5602,152.356
189,0.3337,253,614,5.2356,273.2814,286,638,23.5602,139.267
190,0.3503,253,621,5.2356,254.9568,286,646,23.5602,118.3246
191,0.367,253,628,5.2356,236.6322,286,653,23.5602,100.0
192,0.3837,254,631,7.8534,228.7788,286,656,23.5602,92.1466
193,0.4004,255,626,10.4712,241.8678,286,651,23.5602,105.2356
194,0.4171,257,617,15.7068,265.428,285,646,20.9424,118.3246
195,0.4337,258,609,18.3246,286.3704,285,641,20.9424,131.4136
196,0.4504,259,601,20.9424,307.3128,286,637,23.5602,141.8848
197,0.4671,262,593,28.7958,328.2552,286,633,23.5602,152.356
198,0.4838,264,585,34.0314,349.1976,286,630,23.5602,160.2094
199,0.5005,264,577,34.0314,370.1401,286,626,23.5602,170.6806
200,0.5172,267,569,41.8848,391.0825,285,623,20.9424,178.534
201,0.5339,268,561,44.5026,412.0249,285,620,20.9424,186.3874
202,0.5505,270,554,49.7382,430.3495,285,614,20.9424,202.0942
203,0.5672,272,547,54.9738,448.6741,286,611,23.5602,209.9476
204,0.5839,274,539,60.2094,469.6165,286,608,23.5602,217.801
205,0.6006,275,532,62.8272,487.9411,285,606,20.9424,223.0366
206,0.6173,277,526,68.0628,503.6479,284,603,18.3246,230.8901
207,0.634,278,518,70.6806,524.5903,284,602,18.3246,233.5079
208,0.6506,280,512,75.9162,540.2971,284,598,18.3246,243.9791
209,0.6673,282,506,81.1518,556.0039,284,596,18.3246,249.2147
210,0.684,284,499,86.3874,574.3285,285,594,20.9424,254.4503
211,0.7007,285,493,89.0052,590.0353,285,592,20.9424,259.6859
212,0.7174,287,486,94.2408,608.3599,284,590,18.3246,264.9215
213,0.734,289,480,99.4764,624.0668,284,588,18.3246,270.1571
214,0.7507,290,474,102.0942,639.7736,284,586,18.3246,275.3927
215,0.7674,292,468,107.3298,655.4804,284,584,18.3246,280.6283
216,0.7841,293,463,109.9476,668.5694,283,583,15.7068,283.2461
217,0.8008,295,457,115.1832,684.2762,284,581,18.3246,288.4817
218,0.8175,296,452,117.801,697.3652,284,579,18.3246,293.7173
219,0.8342,298,446,123.0366,713.072,283,578,15.7068,296.3351
220,0.8508,299,441,125.6545,726.161,282,576,13.089,301.5707
221,0.8675,301,436,130.8901,739.25,282,575,13.089,304.1885
222,0.8842,303,431,136.1257,752.339,283,575,15.7068,304.1885
223,0.9009,304,426,138.7435,765.428,282,575,13.089,304.1885
224,0.9176,306,421,143.9791,778.517,282,574,13.089,306.8063
225,0.9343,307,417,146.5969,788.9882,282,574,13.089,306.8063
226,0.9509,309,413,151.8325,799.4594,281,574,10.4712,306.8063
227,0.9676,310,408,154.4503,812.5484,281,573,10.4712,309.4241
228,0.9843,312,404,159.6859,823.0196,281,573,10.4712,309.4241
229,1.001,314,400,164.9215,833.4908,281,572,10.4712,312.0419
230,1.0177,316,396,170.1571,843.962,281,572,10.4712,312.0419
231,1.0343,317,392,172.7749,854.4332,281,573,10.4712,309.4241
232,1.051,318,388,175.3927,864.9045,281,573,10.4712,309.4241
233,1.0677,320,385,180.6283,872.7579,281,573,10.4712,309.4241
234,1.0844,322,381,185.8639,883.2291,280,574,7.8534,306.8063
235,1.1011,323,378,188.4817,891.0825,280,575,7.8534,304.1885
236,1.1178,325,375,193.7173,898.9359,280,575,7.8534,304.1885
237,1.1344,326,372,196.3351,906.7893,280,576,7.8534,301.5707
238,1.1511,328,369,201.5707,914.6427,280,578,7.8534,296.3351
239,1.1678,330,366,206.8063,922.4961,279,579,5.2356,293.7173
240,1.1845,332,364,212.0419,927.7317,280,580,7.8534,291.0995
241,1.2012,333,361,214.6597,935.5851,280,582,7.8534,285.8639
242,1.2179,335,359,219.8953,940.8207,280,583,7.8534,283.2461
243,1.2346,335,357,219.8953,946.0563,280,585,7.8534,278.0105
244,1.2512,338,355,227.7487,951.2919,280,586,7.8534,275.3927
245,1.2679,339,353,230.3665,956.5275,279,588,5.2356,270.1571
246,1.2846,341,351,235.6021,961.7631,279,590,5.2356,264.9215
247,1.3013,343,349,240.8377,966.9987,279,593,5.2356,257.0681
248,1.318,344,348,243.4555,969.6165,279,595,5.2356,251.8325
249,1.3347,346,346,248.6911,974.8521,279,597,5.2356,246.5969
250,1.3513,348,345,253.9267,977.4699,279,600,5.2356,238.7435
251,1.368,350,343,259.1623,982.7055,279,602,5.2356,233.5079
252,1.3847,351,342,261.7801,985.3233,279,605,5.2356,225.6545
253,1.4014,353,341,267.0157,987.9411,279,608,5.2356,217.801
254,1.4181,355,340,272.2513,990.5589,279,611,5.2356,209.9476
255,1.4347,356,340,274.8691,990.5589,279,615,5.2356,199.4764
256,1.4514,358,339,280.1047,993.1767,279,618,5.2356,191.623
257,1.4681,359,338,282.7225,995.7945,278,621,2.6178,183.7696
258,1.4848,361,338,287.9581,995.7945,278,625,2.6178,173.2984
259,1.5015,363,338,293.1937,995.7945,278,627,2.6178,168.0628
260,1.5182,364,338,295.8115,995.7945,278,631,2.6178,157.5916
261,1.5349,366,338,301.0471,995.7945,277,635,0.0,147.1204
262,1.5515,367,338,303.6649,995.7945,277,639,0.0,136.6492
263,1.5682,369,338,308.9005,995.7945,277,644,0.0,123.5602
264,1.5849,371,338,314.1361,995.7945,277,648,0.0,113.089
265,1.6016,371,339,314.1361,993.1767,277,650,0.0,107.8534
266,1.6183,373,339,319.3717,993.1767,276,648,-2.6178,113.089
267,1.635,375,340,324.6073,990.5589,277,645,0.0,120.9424
268,1.6516,377,341,329.8429,987.9411,277,643,0.0,126.178
269,1.6683,377,342,329.8429,985.3233,277,640,0.0,134.0314
270,1.685,380,343,337.6963,982.7055,276,636,-2.6178,144.5026
271,1.7017,381,344,340.3141,980.0877,276,634,-2.6178,149.7382
272,1.7184,383,345,345.5497,977.4699,276,631,-2.6178,157.5916
273,1.735,384,346,348.1675,974.8521,276,629,-2.6178,162.8272
274,1.7517,386,348,353.4031,969.6165,275,628,-5.2356,165.445
275,1.7684,388,350,358.6387,964.3809,276,625,-2.6178,173.2984
276,1.7851,389,352,361.2565,959.1453,276,623,-2.6178,178.534
277,1.8018,391,354,366.4921,953.9097,275,621,-5.2356,183.7696
278,1.8185,393,355,371.7277,951.2919,276,619,-2.6178,189.0052
279,1.8352,394,358,374.3455,943.4385,275,618,-5.2356,191.623
280,1.8518,396,360,379.5812,938.2029,275,617,-5.2356,194.2408
281,1.8685,397,363,382.199,930.3495,276,615,-2.6178,199.4764
282,1.8852,399,365,387.4346,925.1139,275,614,-5.2356,202.0942
283,1.9019,400,368,390.0524,917.2605,275,612,-5.2356,207.3298
284,1.9186,402,371,395.288,909.4071,275,611,-5.2356,209.9476
285,1.9353,403,374,397.9058,901.5537,275,610,-5.2356,212.5654
286,1.9519,405,377,403.1414,893.7003,275,610,-5.2356,212.5654
287,1.9686,407,380,408.377,885.8469,275,609,-5.2356,215.1832
288,1.9853,407,384,408.377,875.3757,275,609,-5.2356,215.1832
289,2.002,410,387,416.2304,867.5223,275,609,-5.2356,215.1832
290,2.0187,412,391,421.466,857.051,274,608,-7.8534,217.801
291,2.0353,412,395,421.466,846.5798,275,608,-5.2356,217.801
292,2.052,415,399,429.3194,836.1086,274,608,-7.8534,217.801
293,2.0687,416,403,431.9372,825.6374,274,608,-7.8534,217.801
294,2.0854,418,407,437.1728,815.1662,274,608,-7.8534,217.801
295,2.1021,420,411,442.4084,804.695,274,609,-7.8534,215.1832
296,2.1188,421,416,445.0262,791.606,275,609,-5.2356,215.1832
297,2.1355,423,420,450.2618,781.1348,275,609,-5.2356,215.1832
298,2.1521,424,425,452.8796,768.0458,275,611,-5.2356,209.9476
299,2.1688,425,430,455.4974,754.9568,275,611,-5.2356,209.9476
300,2.1855,428,435,463.3508,741.8678,274,613,-7.8534,204.712
301,2.2022,429,440,465.9686,728.7788,274,614,-7.8534,202.0942
302,2.2189,431,445,471.2042,715.6898,274,615,-7.8534,199.4764
303,2.2356,433,450,476.4398,702.6008,274,616,-7.8534,196.8586
304,2.2522,433,456,476.4398,686.894,275,617,-5.2356,194.2408
305,2.2689,436,461,484.2932,673.805,274,619,-7.8534,189.0052
306,2.2856,437,467,486.911,658.0982,274,621,-7.8534,183.7696
307,2.3023,439,472,492.1466,645.0092,274,622,-7.8534,181.1518
308,2.319,442,478,500.0,629.3024,274,624,-7.8534,175.9162
309,2.3356,443,484,502.6178,613.5955,274,626,-7.8534,170.6806
310,2.3523,444,491,505.2356,595.2709,273,628,-10.4712,165.445
311,2.369,445,497,507.8534,579.5641,274,630,-7.8534,160.2094
312,2.3857,447,502,513.089,566.4751,274,632,-7.8534,154.9738
313,2.4024,448,507,515.7068,553.3861,274,635,-7.8534,147.1204
314,2.4191,449,513,518.3246,537.6793,274,637,-7.8534,141.8848
315,2.4358,451,520,523.5602,519.3547,273,640,-10.4712,134.0314
316,2.4524,453,526,528.7958,503.6479,273,643,-10.4712,126.178
317,2.4691,454,535,531.4136,480.0877,273,646,-10.4712,118.3246
318,2.4858,455,543,534.0314,459.1453,273,648,-10.4712,113.089
319,2.5025,457,550,539.267,440.8207,273,648,-10.4712,113.089
320,2.5192,458,557,541.8848,422.4961,273,645,-10.4712,120.9424
321,2.5359,459,566,544.5026,398.9359,273,644,-10.4712,123.5602
322,2.5525,460,574,547.1204,377.9935,273,642,-10.4712,128.7958
323,2.5692,462,582,552.356,357.051,273,640,-10.4712,134.0314
324,2.5859,463,590,554.9738,336.1086,273,638,-10.4712,139.267
325,2.6026,464,598,557.5916,315.1662,273,636,-10.4712,144.5026
326,2.6193,465,606,560.2094,294.2238,273,634,-10.4712,149.7382
327,2.6359,467,614,565.445,273.2814,273,633,-10.4712,152.356
328,2.6526,468,622,568.0628,252.339,272,632,-13.089,154.9738
329,2.6693,468,631,568.0628,228.7788,273,631,-10.4712,157.5916
330,2.686,470,640,573.2984,205.2186,273,631,-10.4712,157.5916
331,2.7027,472,649,578.534,181.6584,272,630,-13.089,160.2094
332,2.7194,473,658,581.1518,158.0982,273,628,-10.4712,165.445
333,2.7361,474,667,583.7696,134.538,273,628,-10.4712,165.445
334,2.7527,476,676,589.0052,110.9777,273,627,-10.4712,168.0628
335,2.7694,477,686,591.623,84.7997,273,627,-10.4712,168.0628
336,2.7861,478,695,594.2408,61.2395,273,627,-10.4712,168.0628
337,2.8028,478,695,,,273,627,-10.4712,168.0628
338,2.8195,478,695,,,273,627,-10.4712,168.0628
339,2.8362,478,695,,,273,627,-10.4712,168.0628
340,2.8528,478,695,,,273,628,-10.4712,165.445
341,2.8695,478,695,,,273,627,-10.4712,168.0628
342,2.8862,478,695,,,273,628,-10.4712,165.445
343,2.9029,478,695,,,273,630,-10.4712,160.2094
344,2.9196,478,695,,,273,630,-10.4712,160.2094
