frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
117,0.0,245,434,-13.089,966.4751,282,459,-15.7068,827.2251
118,0.0166,245,438,-13.089,956.0039,282,463,-15.7068,816.7539
119,0.0333,245,443,-13.089,942.9149,282,468,-15.7068,803.6649
120,0.05,245,447,-13.089,932.4437,282,472,-15.7068,793.1937
121,0.0667,244,451,-15.7068,921.9725,281,477,-18.3246,780.1047
122,0.0834,245,456,-13.089,908.8835,282,482,-15.7068,767.0157
123,0.1,245,461,-13.089,895.7945,282,486,-15.7068,756.5445
124,0.1167,244,466,-15.7068,882.7055,282,491,-15.7068,743.4555
125,0.1334,244,471,-15.7068,869.6165,282,496,-15.7068,730.3665
126,0.1501,245,476,-13.089,856.5275,282,502,-15.7068,714.6597
127,0.1668,245,481,-13.089,843.4385,281,507,-18.3246,701.5707
128,0.1835,245,486,-13.089,830.3495,282,512,-15.7068,688.4817
129,0.2002,244,492,-15.7068,814.6427,282,518,-15.7068,672.7749
130,0.2168,245,498,-13.089,798.9359,282,524,-15.7068,657.0681
131,0.2335,244,504,-15.7068,783.2291,282,529,-15.7068,643.9791
132,0.2502,244,510,-15.7068,767.5223,282,535,-15.7068,628.2723
133,0.2669,244,516,-15.7068,751.8154,282,541,-15.7068,612.5654
134,0.2836,244,522,-15.7068,736.1086,282,547,-15.7068,596.8586
135,0.3003,244,528,-15.7068,720.4018,282,554,-15.7068,578.534
136,0.3169,244,534,-15.7068,704.695,282,560,-15.7068,562.8272
137,0.3336,244,541,-15.7068,686.3704,281,567,-18.3246,544.5026
138,0.3503,244,547,-15.7068,670.6636,281,573,-18.3246,528.7958
139,0.367,244,554,-15.7068,652.339,281,580,-18.3246,510.4712
140,0.3837,243,561,-18.3246,634.0144,281,587,-18.3246,492.1466
141,0.4003,244,568,-15.7068,615.6898,281,594,-18.3246,473.822
142,0.417,243,575,-18.3246,597.3652,281,601,-18.3246,455.4974
143,0.4337,243,583,-18.3246,576.4228,281,609,-18.3246,434.555
144,0.4504,243,590,-18.3246,558.0982,281,616,-18.3246,416.2304
145,0.4671,243,598,-18.3246,537.1558,281,623,-18.3246,397.9058
146,0.4838,243,605,-18.3246,518.8312,281,631,-18.3246,376.9634
147,0.5005,242,613,-20.9424,497.8887,281,639,-18.3246,356.0209
148,0.5171,242,621,-20.9424,476.9463,281,646,-18.3246,337.6963
149,0.5338,243,629,-18.3246,456.0039,281,654,-18.3246,316.7539
150,0.5505,242,637,-20.9424,435.0615,273,663,-39.267,293.1937
151,0.5672,242,645,-20.9424,414.1191,281,671,-18.3246,272.2513
152,0.5839,243,654,-18.3246,390.5589,281,679,-18.3246,251.3089
153,0.6006,242,662,-20.9424,369.6165,281,688,-18.3246,227.7487
154,0.6172,242,671,-20.9424,346.0563,281,696,-18.3246,206.8063
155,0.6339,242,680,-20.9424,322.4961,281,705,-18.3246,183.2461
156,0.6506,242,689,-20.9424,298.9359,281,714,-18.3246,159.6859
157,0.6673,242,698,-20.9424,275.3757,281,723,-18.3246,136.1257
158,0.684,242,707,-20.9424,251.8154,280,732,-20.9424,112.5654
159,0.7006,242,716,-20.9424,228.2552,280,741,-20.9424,89.0052
160,0.7173,242,725,-20.9424,204.695,281,751,-18.3246,62.8272
161,0.734,242,735,-20.9424,178.517,280,760,-20.9424,39.267
162,0.7507,241,745,-23.5602,152.339,281,770,-18.3246,13.089
163,0.7674,241,749,-23.5602,141.8678,281,774,-18.3246,2.6178
164,0.7841,241,742,-23.5602,160.1924,281,768,-18.3246,18.3246
165,0.8008,241,732,-23.5602,186.3704,280,758,-20.9424,44.5026
166,0.8174,240,722,-26.178,212.5484,280,751,-20.9424,62.8272
167,0.8341,239,712,-28.7958,238.7264,280,745,-20.9424,78.534
168,0.8508,239,703,-28.7958,262.2866,280,739,-20.9424,94.2408
169,0.8675,239,693,-28.7958,288.4647,280,734,-20.9424,107.3298
