timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,1361.2395,1216.7539,,
0.0167,1350.7683,1206.2827,-627.018,-705.3952
0.0334,1340.2971,1193.1937,-705.3952,-705.3952
0.0501,1327.2081,1182.7225,-783.7725,-705.3952
0.0668,1314.1191,1169.6335,-783.7725,-705.3952
0.0834,1301.0301,1159.1623,-709.6446,-709.6446
0.1001,1290.5589,1146.0733,-705.3952,-862.1497
0.1168,1277.4699,1130.3665,-783.7725,-862.1497
0.1335,1264.3809,1117.2775,-862.1497,-783.7725
0.1502,1248.6741,1104.1885,-862.1497,-783.7725
0.1669,1235.5851,1091.0995,-783.7725,-862.1497
0.1835,1222.4961,1075.3927,-867.3434,-946.1928
0.2002,1206.7893,1059.6859,-940.5269,-862.1497
0.2169,1191.0825,1046.5969,-940.5269,-862.1497
0.2336,1175.3757,1030.8901,-940.5299,-940.5299
0.2503,1159.6688,1015.1832,-940.5299,-940.5299
0.2669,1143.962,999.4764,-946.1928,-1025.0422
0.2836,1128.2552,981.1518,-940.5269,-1018.9042
0.3003,1112.5484,965.445,-1018.9042,-940.5269
0.317,1094.2238,949.7382,-1018.9042,-1018.9042
0.3337,1078.517,931.4136,-1018.9042,-1097.2814
0.3504,1060.1924,913.089,-1097.2814,-1097.2814
0.3671,1041.8678,894.7644,-1097.2814,-1097.2814
0.3837,1023.5432,876.4398,-1103.8916,-1103.8916
0.4004,1005.2186,858.1152,-1175.6587,-1097.2814
0.4171,984.2762,839.7906,-1175.6587,-1097.2814
0.4338,965.9516,821.466,-1175.6587,-1175.6587
0.4505,945.0092,800.5236,-1254.0359,-1254.0359
0.4672,924.0668,779.5812,-1254.0389,-1254.0389
0.4838,903.1243,758.6387,-1182.744,-1182.744
0.5005,884.7997,740.3141,-1175.6587,-1254.0359
0.5172,863.8573,716.7539,-1254.0359,-1332.4132
0.5339,842.9149,695.8115,-1332.4132,-1254.0359
0.5506,819.3547,674.8691,-1332.4132,-1254.0359
0.5672,798.4123,653.9267,-1340.4398,-1340.4398
0.5839,774.8521,630.3665,-1410.7904,-1332.4132
0.6006,751.2919,609.4241,-1410.7904,-1332.4132
0.6173,727.7317,585.8639,-1332.4132,-1410.7904
0.634,706.7893,562.3037,-1332.4132,-1410.7904
0.6507,683.2291,538.7435,-1489.1707,-1489.1707
0.6674,657.051,512.5654,-1489.1707,-1489.1707
0.684,633.4908,489.0052,-1419.2892,-1419.2892
0.7007,609.9306,465.445,-1489.1677,-1489.1677
0.7174,583.7526,439.267,-1567.5449,-1489.1677
0.7341,557.5746,415.7068,-1567.5449,-1489.1677
0.7508,531.3966,389.5288,-1567.5449,-1567.5449
0.7675,505.2186,363.3508,-1567.5449,-1489.1677
0.7841,479.0406,339.7906,-1576.988,-1576.988
0.8008,452.8626,310.9948,-1567.5449,-1645.9222
0.8175,426.6846,284.8168,-4624.2605,-1645.9251
0.8342,298.4123,256.0209,-4702.6377,-1645.9251
0.8509,269.6165,229.8429,-1724.2994,-1645.9222
0.8675,240.8207,201.0471,-1734.6867,-1734.6867
0.8842,212.0249,172.2513,-1724.2994,-1724.2994
0.9009,183.2291,143.4555,-1724.3024,-1724.2994
0.9176,154.4332,114.6597,-1724.3024,-1724.2994
0.9343,125.6374,85.8639,-1802.6766,-1724.2994
0.951,94.2238,57.0681,-1802.6766,-1802.6766
0.9677,65.428,25.6545,-1802.6766,-1881.0569
0.9843,34.0144,-5.7592,-1655.8373,-1655.8404
1.001,10.4542,-29.3194,-313.509,-391.8862
1.0177,23.5432,-18.8482,940.5269,1175.6587
1.0344,41.8678,9.9476,1097.2814,1802.6796
1.0511,60.1924,41.3613,1018.9042,1645.9251
1.0678,75.8992,64.9215,1018.9042,1097.2814
1.0844,94.2238,78.0105,1025.0422,1025.0422
1.1011,109.9306,98.9529,,940.5269
1.1178,335.0615,109.4241,,783.7725
1.1345,371.7107,125.1309,2194.5629,1018.9042
1.1512,408.3599,143.4555,2116.1886,940.5269
1.1678,442.3914,156.5445,2128.9367,867.3434
1.1845,479.0406,172.2513,2116.1856,940.5269
1.2012,513.072,187.9581,2037.8084,940.5269
1.2179,547.1034,203.6649,2116.1856,783.7725
