timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,939.7736,800.5236,,
0.0167,931.9202,790.0524,-470.2635,-705.3952
0.0334,924.0668,776.9634,-548.6437,-548.6437
0.0501,913.5955,771.7277,-548.6437,-470.2665
0.0668,905.7421,761.2565,-548.6407,-548.6407
0.0834,895.2709,753.4031,-630.7952,-473.0964
0.1001,884.7997,745.5497,-548.6407,-548.6407
0.1168,876.9463,735.0785,-548.6407,-627.018
0.1335,866.4751,724.6073,-705.3952,-705.3952
0.1502,853.3861,711.5183,-705.3952,-705.3952
0.1668,842.9149,701.0471,-630.7952,-709.6446
0.1835,832.4437,687.9581,-705.3952,-705.3952
0.2002,819.3547,677.4869,-783.7725,-705.3952
0.2169,806.2657,664.3979,-705.3952,-705.3952
0.2336,795.7945,653.9267,-705.3952,-705.3952
0.2503,782.7055,640.8377,-783.7725,-783.7725
0.267,769.6165,627.7487,-783.7725,-783.7725
0.2836,756.5275,614.6597,-867.3434,-867.3434
0.3003,740.8207,598.9529,-862.1497,-940.5269
0.317,727.7317,583.2461,-862.1497,-862.1497
0.3337,712.0249,570.1571,-940.5269,-783.7725
0.3504,696.3181,557.0681,-862.1497,-862.1497
0.3671,683.2291,541.3613,-862.1497,-940.5269
0.3837,667.5223,525.6545,-946.1958,-946.1958
0.4004,651.8154,509.9476,-940.5299,-940.5299
0.4171,636.1086,494.2408,-1018.9042,-940.5269
0.4338,617.784,478.534,-1018.9042,-1018.9042
0.4505,602.0772,460.2094,-1018.9042,-1018.9042
0.4671,583.7526,444.5026,-1103.8916,-1025.0422
0.4838,565.428,426.178,-1018.9042,-1097.2814
0.5005,549.7212,407.8534,-1018.9042,-1097.2814
0.5172,531.3966,389.5288,-1097.2814,-1097.2814
0.5339,513.072,371.2042,-1097.2814,-1097.2814
0.5506,494.7474,352.8796,-1175.6587,-1175.6587
0.5673,473.805,331.9372,-1175.6587,-1175.6587
0.5839,455.4804,313.6126,-1182.741,-1182.741
0.6006,434.538,292.6702,-1254.0389,-1175.6617
0.6173,413.5955,274.3455,-1175.6617,-1175.6617
0.634,395.2709,253.4031,-1175.6587,-1254.0359
0.6507,374.3285,232.4607,-1254.0359,-1254.0359
0.6674,353.3861,211.5183,-1254.0359,-1254.0359
0.684,332.4437,190.5759,-1340.4398,-1340.4398
0.7007,308.8835,167.0157,-1332.4132,-1332.4132
0.7174,287.9411,146.0733,-1332.4132,-1332.4132
0.7341,264.3809,122.5131,-1332.4132,-1410.7904
0.7508,243.4385,98.9529,-1332.4132,-1332.4132
0.7674,219.8783,78.0105,-1498.1386,-1340.4398
0.7841,193.7003,54.4503,-1489.1677,-1489.1677
0.8008,170.1401,28.2723,-1097.2844,-1175.6617
0.8175,157.051,15.1832,0.0,78.3772
0.8342,170.1401,30.8901,1097.2844,1018.9072
0.8509,193.7003,49.2147,1410.7904,1254.0359
0.8676,217.2605,72.7749,1332.4132,1175.6587
0.8842,238.2029,88.4817,1261.5904,946.1928
0.9009,259.1453,104.1885,1332.4132,940.5269
0.9176,282.7055,119.8953,1332.4132,940.5269
0.9343,303.6479,135.6021,1175.6587,862.1497
0.951,321.9725,148.6911,1254.0359,783.7725
0.9677,345.5327,161.7801,1254.0359,783.7725
0.9843,363.8573,174.8691,1182.741,788.494
1.001,384.7997,187.9581,1175.6587,783.7725
1.0177,403.1243,201.0471,1175.6617,705.3952
1.0344,424.0668,211.5183,1175.6617,705.3952
1.0511,442.3914,224.6073,1097.2814,783.7725
1.0677,460.716,237.6963,1103.8916,709.6446
1.0844,479.0406,248.1675,1097.2814,705.3952
1.1011,497.3652,261.2565,1097.2814,705.3952
1.1178,515.6898,271.7277,1097.2814,548.6437
1.1345,534.0144,279.5812,1018.9042,548.6437
1.1512,549.7212,290.0524,1018.9042,627.018
1.1679,568.0458,300.5236,1018.9042,548.6407
1.1845,583.7526,308.377,946.1928,473.0964
1.2012,599.4594,316.2304,940.5269,548.6407
1.2179,615.1662,326.7016,940.5269,548.6407
1.2346,630.873,334.555,940.5269,470.2635
1.2513,646.5798,342.4084,862.1497,391.8862
1.268,659.6688,347.644,862.1527,470.2635
1.2846,675.3757,358.1152,867.3464,473.0964
1.3013,688.4647,363.3508,783.7725,313.509
1.318,701.5537,368.5864,783.7725,391.8862
1.3347,714.6427,376.4398,783.7725,391.8862
1.3514,727.7317,381.6754,783.7725,313.509
1.368,740.8207,386.911,788.494,315.3976
1.3847,753.9097,392.1466,783.7725,313.509
1.4014,766.9987,397.3822,705.3952,313.509
1.4181,777.4699,402.6178,627.018,313.509
1.4348,787.9411,407.8534,627.018,235.1317
1.4515,798.4123,410.4712,705.3952,235.1317
1.4682,811.5013,415.7068,705.3952,235.1317
1.4848,821.9725,418.3246,630.7952,157.6988
1.5015,832.4437,420.9424,548.6407,313.509
1.5182,840.2971,428.7958,548.6407,156.7545
1.5349,850.7683,426.178,627.018,0.0
1.5516,861.2395,428.7958,548.6407,156.7545
1.5683,869.0929,431.4136,548.6407,156.7545
1.5849,879.5641,434.0314,473.0964,78.8494
1.6016,884.7997,434.0314,391.8862,0.0
1.6183,892.6531,434.0314,470.2635,0.0
1.635,900.5065,434.0314,470.2635,78.3772
1.6517,908.3599,436.6492,391.8862,0.0
1.6683,913.5955,434.0314,394.25,-78.8494
1.685,921.449,434.0314,391.8892,0.0
1.7017,926.6846,434.0314,313.509,0.0
1.7184,931.9202,434.0314,391.8862,-78.3772
1.7351,939.7736,431.4136,391.8862,-156.7545
