timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,1095.2709,958.6387,,
0.0167,1084.7997,950.7853,-627.018,-705.3952
0.0334,1074.3285,935.0785,-627.018,-627.018
0.0501,1063.8573,929.8429,-627.018,-470.2635
0.0668,1053.3861,919.3717,-627.018,-705.3952
0.0835,1042.9149,906.2827,-627.018,-783.7725
0.1002,1032.4437,893.1937,-705.3952,-705.3952
0.1168,1019.3547,882.7225,-788.494,-630.7952
0.1335,1006.2657,872.2513,-705.3952,-705.3952
0.1502,995.7945,859.1623,-705.3952,-783.7725
0.1669,982.7055,846.0733,-783.7725,-783.7725
0.1836,969.6165,832.9843,-783.7725,-783.7725
0.2003,956.5275,819.8953,-783.7725,-783.7725
0.2169,943.4385,806.8063,-867.3434,-867.3434
0.2336,927.7317,791.0995,-862.1497,-862.1497
0.2503,914.6427,778.0105,-862.1497,-862.1497
0.267,898.9359,762.3037,-862.1497,-862.1497
0.2837,885.8469,749.2147,-862.1497,-862.1497
0.3003,870.1401,733.5079,-946.1958,-946.1958
0.317,854.4332,717.801,-1018.9072,-940.5299
0.3337,836.1086,702.0942,-1018.9042,-1018.9042
0.3504,820.4018,683.7696,-940.5269,-1018.9042
0.3671,804.695,668.0628,-940.5269,-1018.9042
0.3838,788.9882,649.7382,-1018.9042,-1018.9042
0.4005,770.6636,634.0314,-1097.2814,-1018.9042
0.4171,752.339,615.7068,-1103.8916,-1103.8916
0.4338,734.0144,597.3822,-1097.2814,-1097.2814
0.4505,715.6898,579.0576,-1097.2814,-1097.2814
0.4672,697.3652,560.733,-1097.2814,-1097.2814
0.4839,679.0406,542.4084,-1097.2814,-1097.2814
0.5006,660.716,524.0838,-1175.6587,-1175.6587
0.5172,639.7736,503.1414,-1182.741,-1261.5904
0.5339,621.449,482.199,-1175.6617,-1175.6617
0.5506,600.5065,463.8743,-1254.0389,-1175.6617
0.5673,579.5641,442.9319,-1254.0359,-1254.0359
0.584,558.6217,421.9895,-1254.0359,-1254.0359
0.6006,537.6793,401.0471,-1261.5904,-1261.5904
0.6173,516.7369,380.1047,-1254.0359,-1254.0359
0.634,495.7945,359.1623,-1332.4132,-1332.4132
0.6507,472.2343,335.6021,-1410.7904,-1410.7904
0.6674,448.6741,312.0419,-1332.4132,-1332.4132
0.6841,427.7317,291.0995,-1332.4132,-1332.4132
0.7008,404.1715,267.5393,-1410.7904,-1410.7904
0.7174,380.6113,243.9791,-1498.1416,-1498.1416
0.7341,354.4332,217.801,-1489.1707,-1410.7934
0.7508,330.873,196.8586,-1410.7904,-1410.7904
0.7675,307.3128,170.6806,-1489.1677,-1489.1677
0.7842,281.1348,147.1204,-1489.1677,-1489.1677
0.8009,257.5746,120.9424,-1489.1677,-1567.5449
0.8175,231.3966,94.7644,-1576.988,-1576.988
0.8342,205.2186,68.5864,-1567.5449,-1567.5449
0.8509,179.0406,42.4084,-1489.1677,-1489.1677
0.8676,155.4804,18.8482,-783.7725,-705.3952
0.8843,152.8626,18.8482,783.7725,627.018
0.9009,181.6584,39.7906,1813.5361,1261.5904
0.9176,213.072,60.733,1881.0539,1175.6587
0.9343,244.4856,79.0576,1802.6766,940.5269
0.951,273.2814,92.1466,1802.6766,940.5269
0.9677,304.695,110.4712,1802.6766,940.5269
0.9844,333.4908,123.5602,1724.2994,783.7725
1.0011,362.2866,136.6492,1724.3024,862.1497
1.0177,391.0825,152.356,1734.6898,946.1928
1.0344,419.8783,168.0628,1724.2994,940.5269
1.0511,448.6741,183.7696,1724.2994,783.7725
1.0678,477.4699,194.2408,1645.9222,783.7725
1.0845,503.6479,209.9476,1567.5449,783.7725
1.1012,529.8259,220.4188,1567.5449,705.3982
1.1178,556.0039,233.5079,1576.988,788.497
1.1345,582.1819,246.5969,1567.5449,705.3952
1.1512,608.3599,257.0681,1567.5479,705.3952
1.1679,634.538,270.1571,1489.1707,705.3952
1.1846,658.0982,280.6283,1489.1677,627.018
1.2012,684.2762,291.0995,1498.1386,630.7952
1.2179,707.8364,301.5707,1410.7904,705.3952
1.2346,731.3966,314.6597,1410.7904,705.3952
1.2513,754.9568,325.1309,1410.7904,470.2635
1.268,778.517,330.3665,1410.7904,391.8862
1.2847,802.0772,338.2199,1332.4132,548.6407
1.3014,823.0196,348.6911,1332.4132,627.018
1.318,846.5798,359.1623,1419.2922,551.9458
1.3347,870.1401,367.0157,1332.4162,470.2635
1.3514,891.0825,374.8691,1254.0359,548.6407
1.3681,912.0249,385.3403,1254.0359,391.8862
1.3848,932.9673,387.9581,1254.0359,313.509
1.4015,953.9097,395.8115,1175.6587,391.8862
1.4181,972.2343,401.0471,1182.741,394.247
1.4348,993.1767,408.9005,1175.6587,391.8862
1.4515,1011.5013,414.1361,1175.6587,313.509
1.4682,1032.4437,419.3717,1175.6587,391.8862
1.4849,1050.7683,427.2251,1097.2814,391.8862
1.5015,1069.0929,432.4607,1103.8916,315.3976
1.5182,1087.4175,437.6963,1097.2814,235.1317
1.5349,1105.7421,440.3141,1018.9072,235.1317
1.5516,1121.449,445.5497,1018.9072,235.1317
1.5683,1139.7736,448.1675,1018.9042,235.1317
1.585,1155.4804,453.4031,1018.9042,156.7545
1.6017,1173.805,453.4031,1018.9042,156.7545
1.6183,1189.5118,458.6387,946.1928,236.5482
1.635,1205.2186,461.2565,862.1497,78.3772
1.6517,1218.3076,461.2565,862.1497,78.3772
1.6684,1234.0144,463.8743,940.5269,156.7545
1.6851,1249.7212,466.4921,862.1497,78.3772
1.7018,1262.8102,466.4921,783.7725,0.0
1.7184,1275.8992,466.4921,867.3434,0.0
1.7351,1291.606,466.4921,862.1497,0.0
1.7518,1304.695,466.4921,783.7725,78.3772
1.7685,1317.784,469.1099,783.7725,78.3772
1.7852,1330.873,469.1099,705.3952,0.0
1.8018,1341.3442,469.1099,709.6446,-78.8494
1.8185,1354.4332,466.4921,705.3982,-78.3772
1.8352,1364.9045,466.4921,705.3982,-156.7545
1.8519,1377.9935,461.2565,705.3952,-156.7545
1.8686,1388.4647,461.2565,627.018,-78.3772
1.8853,1398.9359,458.6387,627.018,-156.7545
1.9019,1409.4071,456.0209,630.7952,-157.6988
1.9186,1419.8783,453.4031,548.6407,-156.7545
1.9353,1427.7317,450.7853,548.6407,-235.1317
1.952,1438.2029,445.5497,548.6407,-391.8862
1.9687,1446.0563,437.6963,548.6407,-313.509
1.9854,1456.5275,435.0785,548.6407,-235.1317
2.0021,1464.3809,429.8429,391.8862,-235.1317
2.0187,1469.6165,427.2251,473.0964,-315.3976
2.0354,1480.0877,419.3717,470.2635,-391.8862
2.0521,1485.3233,414.1361,391.8862,-313.509
2.0688,1493.1767,408.9005,391.8862,-391.8862
2.0855,1498.4123,401.0471,313.509,-470.2635
2.1022,1503.6479,393.1937,391.8862,-391.8862
2.1188,1511.5013,387.9581,394.247,-315.3976
2.1355,1516.7369,382.7225,313.509,-470.2635
2.1522,1521.9725,372.2513,313.509,-548.6407
2.1689,1527.2081,364.3979,313.509,-391.8862
2.1856,1532.4437,359.1623,235.1317,-470.2635
2.2022,1535.0615,348.6911,236.5482,-551.9458
2.2189,1540.2971,340.8377,313.509,-548.6407
2.2356,1545.5327,330.3665,235.1317,-627.018
2.2523,1548.1505,319.8953,235.1317,-548.6407
2.269,1553.3861,312.0419,156.7545,-548.6407
2.2857,1553.3861,301.5707,78.3772,-627.018
2.3024,1556.0039,291.0995,156.7545,-627.018
2.319,1558.6217,280.6283,157.6988,-630.7952
2.3357,1561.2395,270.1571,156.7545,-627.018
2.3524,1563.8573,259.6859,78.3772,-705.3952
2.3691,1563.8573,246.5969,78.3772,-783.7725
2.3858,1566.4751,233.5079,0.0,-705.3982
2.4025,1563.8573,223.0366,0.0,-705.3982
2.4191,1566.4751,209.9476,0.0,-788.494
2.4358,1563.8573,196.8586,-78.3772,-705.3952
2.4525,1563.8573,186.3874,0.0,-783.7725
2.4692,1563.8573,170.6806,0.0,-862.1497
2.4859,1563.8573,157.5916,-78.3772,-862.1497
2.5025,1561.2395,141.8848,-157.6988,-946.1928
2.5192,1558.6217,126.178,-78.3772,-940.5269
2.5359,1558.6217,110.4712,-156.7545,-862.1497
2.5526,1553.3861,97.3822,-156.7545,-862.1497
2.5693,1553.3861,81.6754,-156.7545,-940.5269
2.586,1548.1505,65.9686,-235.1317,-940.5269
2.6027,1545.5327,50.2618,-235.1317,-1097.2814
2.6193,1540.2971,29.3194,-236.5482,-709.6446
2.636,1537.6793,26.7016,-235.1317,313.509
2.6527,1532.4437,39.7906,-313.509,705.3952
2.6694,1527.2081,50.2618,-313.509,705.3952
2.6861,1521.9725,63.3508,-313.509,705.3952
2.7028,1516.7369,73.822,-313.509,627.018
2.7194,1511.5013,84.2932,-315.3976,709.6446
2.7361,1506.2657,97.3822,-391.8862,627.018
2.7528,1498.4123,105.2356,-391.8862,548.6407
2.7695,1493.1767,115.7068,-391.8862,627.018
2.7862,1485.3233,126.178,-391.8862,627.018
2.8028,1480.0877,136.6492,-394.247,630.7952
2.8195,1472.2343,147.1204,-470.2635,548.6407
2.8362,1464.3809,154.9738,-548.6407,548.6407
2.8529,1453.9097,165.445,-548.6407,548.6407
2.8696,1446.0563,173.2984,-470.2635,470.2635
2.8863,1438.2029,181.1518,-548.6407,391.8862
2.903,1427.7317,186.3874,-548.6407,470.2635
2.9196,1419.8783,196.8586,-551.9458,473.0964
2.9363,1409.4071,202.0942,-627.018,391.8862
2.953,1398.9359,209.9476,-627.018,391.8862
2.9697,1388.4647,215.1832,-705.3952,391.8862
2.9864,1375.3757,223.0366,-705.3952,391.8892
3.0031,1364.9045,228.2723,-627.021,313.512
3.0197,1354.4332,233.5079,-709.6476,315.3976
3.0364,1341.3442,238.7435,-705.3952,313.509
3.0531,1330.873,243.9791,-705.3952,235.1317
3.0698,1317.784,246.5969,-783.7725,235.1317
3.0865,1304.695,251.8325,-783.7725,235.1317
3.1031,1291.606,254.4503,-788.494,236.5482
3.1198,1278.517,259.6859,-783.7725,235.1317
3.1365,1265.428,262.3037,-783.7725,156.7545
3.1532,1252.339,264.9215,-862.1497,156.7545
3.1699,1236.6322,267.5393,-940.5269,156.7545
3.1866,1220.9254,270.1571,-862.1497,78.3772
3.2033,1207.8364,270.1571,-862.1497,156.7545
3.2199,1192.1296,275.3927,-946.1928,157.6988
3.2366,1176.4228,275.3927,-940.5269,78.3772
3.2533,1160.716,278.0105,-940.5269,78.3772
3.27,1145.0092,278.0105,-940.5269,0.0
3.2867,1129.3024,278.0105,-940.5299,0.0
3.3034,1113.5955,278.0105,-783.7754,0.0
3.32,1103.1243,278.0105,-630.7952,0.0
3.3367,1092.6531,278.0105,-548.6407,-78.3772
3.3534,1084.7997,275.3927,-548.6407,-156.7545
3.3701,1074.3285,272.7749,-627.018,-78.3772
3.3868,1063.8573,272.7749,-627.018,-78.3772
3.4034,1053.3861,270.1571,-630.7952,-157.6988
3.4201,1042.9149,267.5393,-627.018,-156.7545
3.4368,1032.4437,264.9215,-627.018,-156.7545
3.4535,1021.9725,262.3037,-705.3952,-156.7545
3.4702,1008.8835,259.6859,-705.3952,-156.7545
3.4869,998.4123,257.0681,-705.3952,-156.7545
3.5036,985.3233,254.4503,-783.7725,-235.1317
3.5202,972.2343,249.2147,-788.494,-315.3976
3.5369,959.1453,243.9791,-783.7725,-235.1317
3.5536,946.0563,241.3613,-862.1497,-313.509
3.5703,930.3495,233.5079,-862.1497,-391.8862
3.587,917.2605,228.2723,-862.1497,-313.512
3.6037,901.5537,223.0366,-940.5269,-391.8892
3.6203,885.8469,215.1832,-946.1928,-394.247
3.637,870.1401,209.9476,-940.5299,-391.8862
3.6537,854.4332,202.0942,-940.5299,-391.8862
3.6704,838.7264,196.8586,-940.5269,-391.8862
3.6871,823.0196,189.0052,-1018.9042,-470.2635
3.7037,804.695,181.1518,-1103.8916,-473.0964
3.7204,786.3704,173.2984,-1018.9042,-470.2635
3.7371,770.6636,165.445,-1018.9042,-470.2635
3.7538,752.339,157.5916,-1175.6587,-548.6407
3.7705,731.3966,147.1204,-1175.6587,-548.6407
3.7872,713.072,139.267,-1097.2814,-548.6407
3.8039,694.7474,128.7958,-1175.6587,-548.6407
3.8205,673.805,120.9424,-1182.741,-551.9458
3.8372,655.4804,110.4712,-1175.6587,-627.018
3.8539,634.538,100.0,-1254.0389,-705.3952
3.8706,613.5955,86.911,-1332.4162,-705.3952
3.8873,590.0353,76.4398,-1332.4132,-627.018
3.904,569.0929,65.9686,-1254.0359,-705.3952
3.9206,548.1505,52.8796,-1340.4398,-709.6446
3.9373,524.5903,42.4084,-1410.7904,-470.2635
3.954,501.0301,37.1728,-1332.4132,156.7545
3.9707,480.0877,47.644,-1332.4132,548.6407
3.9874,456.5275,55.4974,-1410.7904,548.6407
4.004,432.9673,65.9686,-1498.1386,551.9458
4.0207,406.7893,73.822,-1567.5449,470.2635
4.0374,380.6113,81.6754,-1489.1707,470.2635
4.0541,357.051,89.5288,-1410.7934,470.2635
4.0708,333.4908,97.3822,-1567.5449,548.6407
4.0875,304.695,107.8534,-1645.9222,313.509
4.1042,278.517,107.8534,-1645.9222,235.1317
4.1208,249.7212,115.7068,-1655.8373,551.9458
4.1375,223.5432,126.178,-1645.9222,470.2635
4.1542,194.7474,131.4136,-1724.2994,313.509
4.1709,165.9516,136.6492,-1724.2994,313.509
4.1876,137.1558,141.8848,-1724.3024,313.509
4.2043,108.3599,147.1204,-1724.3024,235.1317
4.2209,79.5641,149.7382,-1813.5361,315.3976
4.2376,48.1505,157.5916,-1802.6766,313.509
4.2543,19.3547,160.2094,-1881.0539,235.1317
4.271,-14.6767,165.445,-1959.4311,235.1317
4.2877,-46.0903,168.0628,-1802.6766,78.3772
4.3043,-74.8861,168.0628,-1813.5361,157.6988
4.321,-106.2997,173.2984,-1410.7904,235.1317
4.3377,-122.0065,175.9162,-78.3772,156.7545
4.3544,-108.9175,178.534,862.1497,156.7545
4.3711,-93.2107,181.1518,862.1497,78.3772
4.3878,-80.1217,181.1518,862.1497,78.3772
4.4045,-64.4149,183.7696,783.7725,0.0
4.4211,-53.9437,181.1518,709.6446,0.0
4.4378,-40.8547,183.7696,862.1497,78.3772
4.4545,-25.1479,183.7696,783.7725,0.0
4.4712,-14.6767,183.7696,705.3952,0.0
4.4879,-1.5877,183.7696,783.7725,-78.3772
4.5046,11.5013,181.1518,783.7725,0.0
4.5212,24.5903,183.7696,709.6446,0.0
4.5379,35.0615,181.1518,705.3952,-78.3772
4.5546,48.1505,181.1518,705.3952,-156.7545
4.5713,58.6217,175.9162,627.018,-156.7545
4.588,69.0929,175.9162,548.6407,-78.3772
4.6046,76.9463,173.2984,551.9458,-236.5482
4.6213,87.4175,168.0628,627.018,-235.1317
4.638,97.8887,165.445,627.018,-156.7545
4.6547,108.3599,162.8272,627.021,-235.1317
4.6714,118.8312,157.5916,548.6437,-235.1317
4.6881,126.6846,154.9738,470.2635,-235.1317
4.7048,134.538,149.7382,470.2635,-313.509
4.7214,142.3914,144.5026,473.0964,-315.3976
4.7381,150.2448,139.267,470.2635,-313.509
4.7548,158.0982,134.0314,470.2635,-313.509
4.7715,165.9516,128.7958,470.2635,-391.8862
4.7882,173.805,120.9424,391.8862,-391.8862
4.8049,179.0406,115.7068,313.509,-391.8862
4.8215,184.2762,107.8534,315.3976,-473.0964
4.8382,189.5118,100.0,313.509,-470.2635
4.8549,194.7474,92.1466,313.509,-470.2635
4.8716,199.983,84.2932,235.1317,-470.2635
4.8883,202.6008,76.4398,235.1317,-470.2635
