timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,969.0929,829.8429,,
0.0167,958.6217,819.3717,-705.3952,-705.3952
0.0334,945.5327,806.2827,-705.3952,-783.7725
0.05,935.0615,793.1937,-630.7952,-630.7952
0.0667,924.5903,785.3403,-705.3952,-705.3952
0.0834,911.5013,769.6335,-783.7725,-862.1497
0.1001,898.4123,756.5445,-783.7725,-783.7725
0.1168,885.3233,743.4555,-783.7725,-783.7725
0.1334,872.2343,730.3665,-788.494,-788.494
0.1501,859.1453,717.2775,-783.7725,-783.7725
0.1668,846.0563,704.1885,-862.1497,-783.7725
0.1835,830.3495,691.0995,-862.1497,-862.1497
0.2002,817.2605,675.3927,-862.1497,-940.5269
0.2169,801.5537,659.6859,-940.5269,-862.1497
0.2336,785.8469,646.5969,-940.5269,-862.1497
0.2502,770.1401,630.8901,-946.1958,-946.1958
0.2669,754.4332,615.1832,-940.5299,-940.5299
0.2836,738.7264,599.4764,-940.5269,-1018.9042
0.3003,723.0196,581.1518,-1018.9042,-1018.9042
0.317,704.695,565.445,-1018.9042,-940.5269
0.3337,688.9882,549.7382,-1018.9042,-1018.9042
0.3503,670.6636,531.4136,-1103.8916,-1103.8916
0.367,652.339,513.089,-1018.9042,-1097.2814
0.3837,636.6322,494.7644,-1097.2814,-1097.2814
0.4004,615.6898,476.4398,-1175.6587,-1097.2814
0.4171,597.3652,458.1152,-1097.2814,-1097.2814
0.4337,579.0406,439.7906,-1103.8916,-1261.5904
0.4504,560.716,416.2304,-1175.6587,-1175.6587
0.4671,539.7736,400.5236,-1254.0359,-1097.2814
0.4838,518.8312,379.5812,-1254.0389,-1254.0389
0.5005,497.8887,358.6387,-1254.0389,-1254.0389
0.5172,476.9463,337.6963,-1254.0359,-1254.0359
0.5339,456.0039,316.7539,-1254.0359,-1332.4132
0.5505,435.0615,293.1937,-1340.4398,-1340.4398
0.5672,411.5013,272.2513,-1332.4132,-1254.0359
0.5839,390.5589,251.3089,-1332.4132,-1332.4132
0.6006,366.9987,227.7487,-1410.7904,-1332.4132
0.6173,343.4385,206.8063,-1410.7904,-1410.7904
0.634,319.8783,180.6283,-1410.7904,-1410.7904
0.6506,296.3181,159.6859,-1419.2892,-1419.2892
0.6673,272.7579,133.5079,-1410.7934,-1489.1707
0.684,249.1976,109.9476,-1489.1707,-1489.1707
0.7007,223.0196,83.7696,-1567.5449,-1489.1677
0.7174,196.8416,60.2094,-1489.1677,-1489.1677
0.734,173.2814,34.0314,-1498.1386,-1576.988
0.7507,147.1034,7.8534,-1567.5449,-1489.1677
0.7674,120.9254,-15.7068,-862.1497,-783.7725
0.7841,118.3076,-18.3246,470.2635,548.6407
0.8008,136.6322,2.6178,1175.6587,1959.4311
0.8175,157.5746,47.1204,1332.4132,1802.6766
0.8342,181.1348,62.8272,1332.4132,862.1497
0.8508,202.0772,75.9162,1182.741,1025.0422
0.8675,220.4018,96.8586,1175.6587,1097.2814
0.8842,241.3442,112.5654,1254.0359,862.1527
0.9009,262.2866,125.6545,1175.6617,862.1527
0.9176,280.6113,141.3613,1175.6617,862.1497
0.9343,301.5537,154.4503,1254.0359,862.1497
0.9509,322.4961,170.1571,1182.741,946.1928
0.9676,340.8207,185.8639,1097.2814,862.1497
0.9843,359.1453,198.9529,1097.2814,783.7725
1.001,377.4699,212.0419,1097.2814,705.3952
1.0177,395.7945,222.5131,1097.2814,705.3952
1.0343,414.1191,235.6021,1103.8916,788.494
1.051,432.4437,248.6911,1018.9042,783.7725
1.0677,448.1505,261.7801,1018.9042,627.018
1.0844,466.4751,269.6335,1097.2814,627.018
1.1011,484.7997,282.7225,1018.9042,705.3952
1.1178,500.5065,293.1937,1018.9072,627.018
1.1345,518.8312,303.6649,1018.9072,627.018
1.1511,534.538,314.1361,1025.0422,630.7952
1.1678,552.8626,324.6073,1018.9042,548.6407
1.1845,568.5694,332.4607,1018.9042,627.018
1.2012,586.894,345.5497,940.5269,627.018
1.2179,599.983,353.4031,862.1497,548.6407
