timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,1305.7421,1166.4921,,
0.0167,1295.2709,1158.6387,-548.6407,-627.018
0.0333,1287.4175,1145.5497,-551.9458,-630.7952
0.05,1276.9463,1137.6963,-627.018,-627.018
0.0667,1266.4751,1124.6073,-705.3952,-705.3952
0.0834,1253.3861,1114.1361,-705.3952,-627.018
0.1001,1242.9149,1103.6649,-705.3952,-627.018
0.1168,1229.8259,1093.1937,-705.3952,-705.3952
0.1335,1219.3547,1080.1047,-705.3952,-783.7725
0.1501,1206.2657,1067.0157,-788.494,-709.6446
0.1668,1193.1767,1056.5445,-783.7725,-705.3952
0.1835,1180.0877,1043.4555,-783.7725,-783.7725
0.2002,1166.9987,1030.3665,-783.7725,-783.7725
0.2169,1153.9097,1017.2775,-783.7725,-862.1497
0.2336,1140.8207,1001.5707,-783.7725,-862.1497
0.2502,1127.7317,988.4817,-867.3434,-788.494
0.2669,1112.0249,975.3927,-940.5269,-862.1497
0.2836,1096.3181,959.6859,-862.1497,-940.5269
0.3003,1083.2291,943.9791,-862.1497,-940.5269
0.317,1067.5223,928.2723,-940.5299,-940.5299
0.3336,1051.8154,912.5654,-946.1958,-946.1958
0.3503,1036.1086,896.8586,-1018.9042,-940.5269
0.367,1017.784,881.1518,-1018.9042,-1018.9042
0.3837,1002.0772,862.8272,-1018.9042,-1018.9042
0.4004,983.7526,847.1204,-1018.9042,-1018.9042
0.4171,968.0458,828.7958,-1018.9042,-1097.2814
0.4338,949.7212,810.4712,-1097.2814,-1097.2814
0.4504,931.3966,792.1466,-1103.8916,-1103.8916
0.4671,913.072,773.822,-1097.2814,-1097.2814
0.4838,894.7474,755.4974,-1097.2814,-1097.2814
0.5005,876.4228,737.1728,-1175.6587,-1097.2814
0.5172,855.4804,718.8482,-1175.6587,-1175.6587
0.5339,837.1558,697.9058,-1175.6587,-1254.0359
0.5505,816.2134,676.9634,-1261.5934,-1261.5934
0.5672,795.2709,656.0209,-1254.0389,-1175.6617
0.5839,774.3285,637.6963,-1254.0359,-1175.6587
0.6006,753.3861,616.7539,-1254.0359,-1332.4132
0.6173,732.4437,593.1937,-1254.0359,-1332.4132
0.6339,711.5013,572.2513,-1340.4398,-1261.5904
0.6506,687.9411,551.3089,-1410.7904,-1332.4132
0.6673,664.3809,527.7487,-1332.4132,-1332.4132
0.684,643.4385,506.8063,-1332.4132,
0.7007,619.8783,1145.5497,-1410.7904,-1410.7904
0.7174,596.3181,459.6859,-1410.7904,-3370.2216
0.7341,572.7579,1032.9843,-1410.7934,
0.7507,549.1976,1135.0785,-1498.1416,3075.1265
0.7674,523.0196,1135.0785,-1489.1677,
0.7841,499.4594,362.8272,-1489.1677,
0.8008,473.2814,336.6492,-1489.1677,-1567.5449
0.8175,449.7212,310.4712,-1489.1677,-1489.1677
0.8342,423.5432,286.911,-1567.5449,-1410.7904
0.8508,397.3652,263.3508,-1576.988,-1576.988
0.8675,371.1872,234.555,-1567.5449,-1645.9222
0.8842,345.0092,208.377,-1645.9222,-1567.5449
