timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
1.7017,1095.7945,516.7539,78.3772,313.509
1.7184,1095.7945,519.3717,0.0,78.3772
1.735,1095.7945,519.3717,0.0,157.6988
1.7517,1095.7945,524.6073,-78.3772,156.7545
1.7684,1093.1767,524.6073,-78.3772,156.7545
1.7851,1093.1767,529.8429,0.0,235.1317
1.8018,1093.1767,532.4607,-78.3772,78.3772
1.8184,1090.5589,532.4607,-157.6988,0.0
1.8351,1087.9411,532.4607,-156.7545,0.0
1.8518,1085.3233,532.4607,-156.7545,78.3772
1.8685,1082.7055,535.0785,-235.1317,0.0
1.8852,1077.4699,532.4607,-313.509,-78.3772
1.9019,1072.2343,532.4607,-235.1317,0.0
1.9186,1069.6165,532.4607,-235.1317,0.0
1.9352,1064.3809,532.4607,-315.3976,-157.6988
1.9519,1059.1453,527.2251,-313.509,-78.3772
1.9686,1053.9097,529.8429,-313.509,-78.3772
1.9853,1048.6741,524.6073,-313.509,-156.7545
2.002,1043.4385,524.6073,-391.8862,-78.3772
2.0187,1035.5851,521.9895,-391.8862,-156.7545
2.0353,1030.3495,519.3717,-394.247,-157.6988
2.052,1022.4961,516.7539,-470.2635,-235.1317
2.0687,1014.6427,511.5183,-391.8862,-313.509
2.0854,1009.4071,506.2827,-391.8862,0.0
2.1021,1001.5537,511.5183,-470.2635,-235.1317
2.1187,993.7003,498.4293,-551.9458,-551.9458
2.1354,983.2291,493.1937,-548.6407,-313.509
2.1521,975.3757,487.9581,-548.6407,-313.509
2.1688,964.9045,482.7225,-548.6437,-235.1317
2.1855,957.051,480.1047,-470.2665,-313.509
2.2022,949.1976,472.2513,-548.6407,-470.2635
2.2189,938.7264,464.3979,-705.3952,-391.8862
2.2355,925.6374,459.1623,-709.6446,-394.247
2.2522,915.1662,451.3089,-627.018,-470.2635
2.2689,904.695,443.4555,-627.018,-470.2635
2.2856,894.2238,435.6021,-627.018,-627.018
2.3023,883.7526,422.5131,-705.3952,-313.509
2.319,870.6636,425.1309,-705.3952,-470.2635
2.3356,860.1924,406.8063,-709.6446,-473.0964
2.3523,847.1034,409.4241,-705.3952,-470.2635
2.369,836.6322,391.0995,-783.7725,-862.1497
2.3857,820.9254,380.6283,-862.1497,-627.018
2.4024,807.8364,370.1571,-783.7725,-548.6407
2.419,794.7474,362.3037,-788.494,-473.0964
2.4357,781.6584,354.4503,-783.7725,-627.018
2.4524,768.5694,341.3613,-862.1497,-548.6407
2.4691,752.8626,336.1257,-940.5269,-548.6437
2.4858,737.1558,323.0366,-940.5269,-705.3982
2.5025,721.449,312.5654,-940.5299,-940.5269
2.5192,705.7421,291.623,-940.5299,-940.5269
2.5358,690.0353,281.1518,-946.1928,-709.6446
2.5525,674.3285,268.0628,-1018.9042,-783.7725
2.5692,656.0039,254.9738,-1018.9042,-548.6407
2.5859,640.2971,249.7382,-1018.9042,-862.1497
2.6026,621.9725,226.178,-1097.2814,-1175.6587
2.6193,603.6479,210.4712,-1018.9042,-862.1497
2.6359,587.9411,197.3822,-1103.8916,-709.6446
2.6526,566.9987,186.911,-1097.2814,-627.018
2.6693,551.2919,176.4398,-1018.9042,-940.5269
2.686,532.9673,155.4974,-1175.6587,-1254.0359
2.7027,512.0249,134.555,-1175.6587,-783.7725
2.7193,493.7003,129.3194,-1103.8916,-788.494
2.736,475.3757,108.377,-1175.6617,-1097.2814
2.7527,454.4332,92.6702,-1254.0389,-1254.0389
2.7694,433.4908,66.4921,-1254.0359,-1175.6617
2.7861,412.5484,53.4031,-1254.0359,-705.3952
2.8028,391.606,42.9319,-1254.0359,-1175.6587
2.8195,370.6636,14.1361,-1254.0359,-1018.9042
2.8361,349.7212,8.9005,-1261.5904,394.247
2.8528,328.7788,27.2251,-1254.0359,1018.9042
2.8695,307.8364,42.9319,-1332.4132,940.5269
2.8862,284.2762,58.6387,-1410.7904,705.3952
2.9029,260.716,66.4921,-1410.7904,391.8862
2.9196,237.1558,71.7277,-1332.4132,548.6437
2.9362,216.2134,84.8168,-1340.4428,867.3464
2.9529,192.6531,100.5236,,783.7725
2.9696,,110.9948,,627.018
2.9863,,121.466,,627.018
3.003,,131.9372,,705.3952
3.0196,,145.0262,,709.6446
3.0363,,155.4974,,470.2635
3.053,,160.733,,470.2635
3.0697,,171.2042,,548.6407
3.0864,,179.0576,,470.2635
3.1031,,186.911,,548.6407
3.1198,,197.3822,,470.2635
3.1364,,202.6178,,473.0964
3.1531,,213.089,,548.6407
3.1698,,220.9424,,391.8862
3.1865,,226.178,,391.8862
3.2032,,234.0314,,470.2635
3.2199,,241.8848,,391.8862
3.2365,,247.1204,,315.3976
3.2532,,252.356,,391.8862
3.2699,,260.2094,,548.6407
3.2866,,270.6806,,313.509
3.3033,,270.6806,,235.1317
3.3199,,278.534,,315.3976
3.3366,,281.1518,,235.1317
3.3533,,286.3874,,313.509
3.37,,291.623,,156.7545
3.3867,,291.623,,0.0
3.4034,,291.623,,313.509
3.4201,,302.0942,,470.2635
3.4367,,307.3298,,-78.8494
3.4534,,299.4764,,-156.7545
3.4701,190.0353,302.0942,,313.509
3.4868,195.2709,309.9476,391.8862,235.1317
3.5035,203.1243,309.9476,391.8862,-156.7545
3.5202,208.3599,304.712,391.8892,0.0
3.5368,216.2134,309.9476,394.25,236.5482
3.5535,221.449,312.5654,313.509,78.3772
3.5702,226.6846,312.5654,313.509,-156.7545
3.5869,231.9202,307.3298,313.509,-78.3772
3.6036,237.1558,309.9476,313.509,-78.3772
3.6202,242.3914,304.712,315.3976,-315.3976
3.6369,247.627,299.4764,235.1317,0.0
3.6536,250.2448,304.712,235.1317,156.7545
3.6703,255.4804,304.712,235.1317,-235.1317
3.687,258.0982,296.8586,156.7545,-391.8862
3.7037,260.716,291.623,156.7545,-235.1317
3.7204,263.3338,289.0052,156.7545,-156.7545
3.737,265.9516,286.3874,157.6988,-157.6988
3.7537,268.5694,283.7696,156.7545,-235.1317
3.7704,271.1872,278.534,156.7545,-391.8862
3.7871,273.805,270.6806,78.3772,-235.1317
3.8038,273.805,270.6806,0.0,-156.7545
3.8205,273.805,265.445,78.3772,-391.8862
3.8371,276.4228,257.5916,78.8494,-394.247
3.8538,276.4228,252.356,0.0,-391.8862
3.8705,276.4228,244.5026,0.0,-391.8862
3.8872,276.4228,239.267,-78.3772,-313.509
3.9039,273.805,234.0314,-156.7545,-391.8862
3.9205,271.1872,226.178,-78.8494,-315.3976
3.9372,271.1872,223.5602,-78.3772,-313.509
3.9539,268.5694,215.7068,-156.7545,-627.018
3.9706,265.9516,202.6178,-78.3772,-627.018
3.9873,265.9516,194.7644,-78.3772,-548.6407
4.004,263.3338,184.2932,-235.1317,-548.6407
4.0207,258.0982,176.4398,-235.1317,-391.8862
4.0373,255.4804,171.2042,-236.5482,-473.0964
4.054,250.2448,160.733,-235.1317,-705.3952
4.0707,247.627,147.644,-235.1317,-705.3952
4.0874,242.3914,137.1728,-235.1317,-548.6407
4.1041,239.7736,129.3194,-313.509,-548.6407
4.1208,231.9202,118.8482,-391.8862,-705.3952
4.1374,226.6846,105.7592,-315.3976,-709.6446
4.1541,221.449,95.288,-313.509,-705.3952
4.1708,216.2134,82.199,-391.8892,-783.7754
