timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,637.1558,500.5236,,
0.0167,629.3024,495.288,-548.6407,-548.6407
0.0334,618.8312,482.199,-548.6437,-627.021
0.0501,610.9777,474.3455,-470.2665,-470.2665
0.0668,603.1243,466.4921,-548.6407,-548.6407
0.0834,592.6531,456.0209,-630.7952,-630.7952
0.1001,582.1819,445.5497,-548.6407,-627.018
0.1168,574.3285,435.0785,-627.018,-627.018
0.1335,561.2395,424.6073,-627.018,-627.018
0.1502,553.3861,414.1361,-627.018,-627.018
0.1668,540.2971,403.6649,-709.6446,-630.7952
0.1835,529.8259,393.1937,-627.018,-705.3952
0.2002,519.3547,380.1047,-705.3952,-705.3952
0.2169,506.2657,369.6335,-783.7725,-705.3952
0.2336,493.1767,356.5445,-705.3952,-705.3952
0.2503,482.7055,346.0733,-705.3952,-705.3952
0.267,469.6165,332.9843,-862.1497,-783.7725
0.2836,453.9097,319.8953,-867.3434,-788.494
0.3003,440.8207,306.8063,-783.7725,-862.1497
0.317,427.7317,291.0995,-783.7725,-862.1497
0.3337,414.6427,278.0105,-862.1497,-783.7725
0.3504,398.9359,264.9215,-862.1497,-862.1497
0.367,385.8469,249.2147,-867.3434,-946.1928
0.3837,370.1401,233.5079,-940.5299,-862.1527
0.4004,354.4332,220.4188,-940.5299,-940.5299
0.4171,338.7264,202.0942,-940.5269,-1018.9042
0.4338,323.0196,186.3874,-940.5269,-940.5269
0.4505,307.3128,170.6806,-1018.9042,-940.5269
0.4672,288.9882,154.9738,-1018.9042,-1018.9042
0.4838,273.2814,136.6492,-1025.0422,-1103.8916
0.5005,254.9568,118.3246,-1097.2814,-1018.9042
0.5172,236.6322,102.6178,-1097.2814,-1018.9042
0.5339,218.3076,84.2932,-783.7725,-783.7725
0.5506,210.4542,76.4398,156.7545,78.3772
0.5673,223.5432,86.911,862.1497,783.7725
0.5839,239.25,102.6178,946.1928,788.494
0.6006,254.9568,113.089,940.5269,705.3952
0.6173,270.6636,126.178,862.1497,783.7725
0.634,283.7526,139.267,862.1497,783.7725
0.6507,299.4594,152.356,940.5269,627.018
0.6673,315.1662,160.2094,867.3434,630.7952
0.684,328.2552,173.2984,783.7725,705.3952
0.7007,341.3442,183.7696,783.7725,548.6407
0.7174,354.4332,191.623,783.7754,548.6407
0.7341,367.5223,202.0942,783.7754,548.6407
0.7508,380.6113,209.9476,783.7725,627.018
0.7675,393.7003,223.0366,783.7725,548.6437
0.7841,406.7893,228.2723,709.6446,473.0994
0.8008,417.2605,238.7435,705.3952,470.2635
0.8175,430.3495,243.9791,705.3952,470.2635
0.8342,440.8207,254.4503,627.018,470.2635
0.8509,451.2919,259.6859,627.018,470.2635
0.8676,461.7631,270.1571,627.018,470.2635
0.8842,472.2343,275.3927,630.7952,394.247
0.9009,482.7055,283.2461,548.6407,391.8862
0.9176,490.5589,288.4817,548.6407,391.8862
0.9343,501.0301,296.3351,548.6407,391.8862
0.951,508.8835,301.5707,470.2635,313.509
0.9676,516.7369,306.8063,473.0964,315.3976
0.9843,524.5903,312.0419,548.6407,313.509
1.001,535.0615,317.2775,470.2635,235.1317
1.0177,540.2971,319.8953,391.8862,156.7545
1.0344,548.1505,322.5131,470.2635,235.1317
1.0511,556.0039,327.7487,391.8862,235.1317
