timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,463.8573,321.9895,,
0.0167,453.3861,311.5183,-627.018,-705.3952
0.0333,442.9149,298.4293,-630.7952,-709.6446
0.05,432.4437,287.9581,-705.3952,-627.018
0.0667,419.3547,277.4869,-783.7725,-705.3952
0.0834,406.2657,264.3979,-705.3952,-705.3952
0.1001,395.7945,253.9267,-705.3952,-705.3952
0.1168,382.7055,240.8377,-783.7725,-783.7725
0.1334,369.6165,227.7487,-788.494,-788.494
0.1501,356.5275,214.6597,-783.7725,-783.7725
0.1668,343.4385,201.5707,-783.7725,-783.7725
0.1835,330.3495,188.4817,-862.1497,-862.1497
0.2002,314.6427,172.7749,-862.1497,-783.7725
0.2168,301.5537,162.3037,-867.3434,-867.3434
0.2335,285.8469,143.9791,-940.5269,-1018.9042
0.2502,270.1401,128.2723,-940.5299,-940.5299
0.2669,254.4332,112.5654,-940.5299,-862.1527
0.2836,238.7264,99.4764,-862.1497,-783.7725
0.3003,225.6374,86.3874,-156.7545,-235.1317
0.317,233.4908,91.623,627.018,470.2635
0.3336,246.5798,102.0942,788.494,709.6446
0.3503,259.6688,115.1832,783.7754,627.018
0.367,272.7579,123.0366,783.7754,627.021
0.3837,285.8469,136.1257,705.3952,705.3982
0.4004,296.3181,146.5969,705.3952,548.6407
0.4171,309.4071,154.4503,705.3952,627.018
0.4337,319.8783,167.5393,630.7952,630.7952
0.4504,330.3495,175.3927,627.018,470.2635
0.4671,340.8207,183.2461,627.018,470.2635
0.4838,351.2919,191.0995,627.018,470.2635
0.5005,361.7631,198.9529,627.018,470.2635
0.5171,372.2343,206.8063,630.7952,473.0964
0.5338,382.7055,214.6597,548.6407,391.8862
0.5505,390.5589,219.8953,548.6407,391.8862
0.5672,401.0301,227.7487,548.6407,470.2635
0.5839,408.8835,235.6021,470.2635,391.8862
0.6006,416.7369,240.8377,470.2635,313.509
0.6173,424.5903,246.0733,470.2635,313.509
0.6339,432.4437,251.3089,473.0964,315.3976
0.6506,440.2971,256.5445,391.8862,313.509
0.6673,445.5327,261.7801,391.8862,235.1317
0.684,453.3861,264.3979,391.8862,391.8862
0.7007,458.6217,274.8691,391.8862,470.2635
0.7174,466.4751,280.1047,391.8862,78.3772
0.734,471.7107,277.4869,315.3976,78.8494
0.7507,476.9463,282.7225,313.509,235.1317
0.7674,482.1819,285.3403,313.509,156.7545
0.7841,487.4175,287.9581,235.1317,78.3772
0.8008,490.0353,287.9581,235.1317,156.7545
0.8174,495.2709,293.1937,236.5482,157.6988
0.8341,497.8887,293.1937,156.7545,235.1317
0.8508,500.5065,301.0471,235.1317,235.1317
0.8675,505.7421,301.0471,235.1317,0.0
0.8842,508.3599,301.0471,156.7545,0.0
0.9009,510.9777,301.0471,78.3772,-156.7545
0.9176,510.9777,295.8115,78.3772,-156.7545
0.9342,513.5955,295.8115,157.7018,0.0
0.9509,516.2134,295.8115,78.3802,235.1317
0.9676,516.2134,303.6649,0.0,0.0
0.9843,516.2134,295.8115,78.3772,-313.509
1.001,518.8312,293.1937,78.3772,-156.7545
1.0177,518.8312,290.5759,0.0,-78.3772
1.0343,518.8312,290.5759,-78.8494,-78.8494
1.051,516.2134,287.9581,-78.3772,-156.7545
1.0677,516.2134,285.3403,-78.3802,-156.7545
1.0844,513.5955,282.7225,-78.3802,-235.1317
