timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,558.6217,419.3717,,
0.0166,548.1505,408.9005,-630.7952,-709.6446
0.0333,537.6793,395.8115,-705.3952,-705.3952
0.05,524.5903,385.3403,-705.3952,-705.3952
0.0667,514.1191,372.2513,-705.3952,-705.3952
0.0834,501.0301,361.7801,-705.3952,-705.3952
0.1,490.5589,348.6911,-709.6446,-788.494
0.1167,477.4699,335.6021,-783.7725,-783.7725
0.1334,464.3809,322.5131,-783.7725,-783.7725
0.1501,451.2919,309.4241,-862.1497,-783.7725
0.1668,435.5851,296.3351,-862.1497,-862.1497
0.1835,422.4961,280.6283,-783.7725,-862.1497
0.2001,409.4071,267.5393,-867.3434,-867.3434
0.2168,393.7003,251.8325,-940.5269,-862.1497
0.2335,377.9935,238.7435,-940.5299,-862.1527
0.2502,362.2866,223.0366,-940.5299,-940.5299
0.2669,346.5798,207.3298,-940.5269,-940.5269
0.2836,330.873,191.623,-940.5269,-1018.9042
0.3003,315.1662,173.2984,-1018.9042,-1018.9042
0.3169,296.8416,157.5916,-1025.0422,-946.1928
0.3336,281.1348,141.8848,-1018.9042,-1018.9042
0.3503,262.8102,123.5602,-1097.2814,-1018.9042
0.367,244.4856,107.8534,-1018.9042,-1018.9042
0.3837,228.7788,89.5288,-783.7725,-862.1497
0.4004,218.3076,79.0576,156.7545,0.0
0.417,234.0144,89.5288,1025.0422,788.494
0.4337,252.339,105.2356,1175.6587,862.1497
0.4504,273.2814,118.3246,1175.6587,705.3952
0.4671,291.606,128.7958,1097.2814,627.018
0.4838,309.9306,139.267,1097.2814,627.018
0.5004,328.2552,149.7382,1103.8916,551.9458
0.5171,346.5798,157.5916,1097.2844,548.6407
0.5338,364.9045,168.0628,1018.9072,627.018
0.5505,380.6113,178.534,1018.9042,548.6407
0.5672,398.9359,186.3874,1018.9042,548.6407
0.5839,414.6427,196.8586,940.5269,548.6407
0.6006,430.3495,204.712,940.5269,470.2635
0.6172,446.0563,212.5654,946.1928,473.0964
0.6339,461.7631,220.4188,940.5269,548.6437
0.6506,477.4699,230.8901,940.5269,470.2665
0.6673,493.1767,236.1257,862.1497,391.8862
0.684,506.2657,243.9791,862.1497,391.8862
0.7007,521.9725,249.2147,862.1497,391.8862
0.7173,535.0615,257.0681,788.494,473.0964
0.734,548.1505,264.9215,783.7725,391.8862
0.7507,561.2395,270.1571,783.7725,391.8862
0.7674,574.3285,278.0105,783.7725,235.1317
0.7841,587.4175,278.0105,783.7725,235.1317
0.8007,600.5065,285.8639,788.494,394.247
0.8174,613.5955,291.0995,705.3982,235.1317
0.8341,624.0668,293.7173,627.021,235.1317
0.8508,634.538,298.9529,705.3952,235.1317
0.8675,647.627,301.5707,627.018,156.7545
0.8842,655.4804,304.1885,548.6407,235.1317
0.9009,665.9516,309.4241,627.018,156.7545
0.9175,676.4228,309.4241,630.7952,78.8494
0.9342,686.894,312.0419,548.6407,156.7545
0.9509,694.7474,314.6597,548.6407,156.7545
0.9676,705.2186,317.2775,548.6407,78.3772
0.9843,713.072,317.2775,470.2635,0.0
1.001,720.9254,317.2775,470.2635,78.3772
1.0176,728.7788,319.8953,473.0964,78.8494
1.0343,736.6322,319.8953,470.2635,0.0
1.051,744.4856,319.8953,470.2635,0.0
1.0677,752.339,319.8953,391.8862,0.0
1.0844,757.5746,319.8953,391.8862,-78.3772
