timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,763.8573,624.6073,,
0.0167,753.3861,614.1361,-627.018,-705.3952
0.0334,742.9149,601.0471,-705.3952,-705.3952
0.0501,729.8259,590.5759,-705.3952,-705.3952
0.0667,719.3547,577.4869,-709.6446,-788.494
0.0834,706.2657,564.3979,-783.7725,-705.3952
0.1001,693.1767,553.9267,-783.7725,-705.3952
0.1168,680.0877,540.8377,-783.7725,-783.7725
0.1335,666.9987,527.7487,-783.7725,-783.7725
0.1502,653.9097,514.6597,-783.7725,-783.7725
0.1668,640.8207,501.5707,-867.3434,-867.3434
0.1835,625.1139,485.8639,-862.1497,-862.1497
0.2002,612.0249,472.7749,-862.1497,-862.1497
0.2169,596.3181,457.0681,-862.1497,-862.1497
0.2336,583.2291,443.9791,-940.5269,-862.1497
0.2502,564.9045,428.2723,-946.1958,-946.1958
0.2669,551.8154,412.5654,-862.1527,-940.5299
0.2836,536.1086,396.8586,-1018.9042,-1018.9042
0.3003,517.784,378.534,-1018.9042,-1018.9042
0.317,502.0772,362.8272,-1018.9042,-1018.9042
0.3337,483.7526,344.5026,-1097.2814,-1018.9042
0.3504,465.428,328.7958,-1018.9042,-1018.9042
0.367,449.7212,310.4712,-1025.0422,-1103.8916
0.3837,431.3966,292.1466,-1097.2814,-1097.2814
0.4004,413.072,273.822,-1097.2814,-1097.2814
0.4171,394.7474,255.4974,-1097.2814,-1097.2814
0.4338,376.4228,237.1728,-1175.6587,-1097.2814
0.4505,355.4804,218.8482,-1175.6587,-1175.6587
0.4671,337.1558,197.9058,-1182.741,-1182.741
0.4838,316.2134,179.5812,-1175.6617,-1175.6617
0.5005,297.8887,158.6387,-1175.6617,-1254.0389
0.5172,276.9463,137.6963,-1254.0359,-1254.0359
0.5339,256.0039,116.7539,-1254.0359,-1175.6587
0.5505,235.0615,98.4293,-1340.4398,-1261.5904
0.5672,211.5013,74.8691,-1254.0359,-1254.0359
0.5839,193.1767,56.5445,-470.2635,-470.2635
0.6006,195.7945,59.1623,705.3952,548.6407
0.6173,216.7369,74.8691,1254.0359,1097.2814
0.634,237.6793,95.8115,1254.0359,862.1497
0.6507,258.6217,103.6649,1175.6587,783.7725
0.6673,276.9463,121.9895,1182.741,1025.0422
0.684,297.8887,137.6963,1254.0389,862.1497
0.7007,318.8312,150.7853,1175.6617,783.7725
0.7174,337.1558,163.8743,1097.2814,627.018
0.7341,355.4804,171.7277,1097.2814,627.021
0.7508,373.805,184.8168,1097.2814,705.3982
0.7674,392.1296,195.288,1103.8916,709.6446
0.7841,410.4542,208.377,1018.9042,705.3952
0.8008,426.161,218.8482,1018.9042,627.018
