timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,769.0929,629.8429,,
0.0167,758.6217,619.3717,-705.3952,-627.018
0.0333,745.5327,608.9005,-709.6446,-630.7952
0.05,735.0615,598.4293,-705.3952,-705.3952
0.0667,721.9725,585.3403,-705.3952,-705.3952
0.0834,711.5013,574.8691,-705.3952,-783.7725
0.1001,698.4123,559.1623,-705.3952,-862.1497
0.1168,687.9411,546.0733,-705.3952,-705.3952
0.1334,674.8521,535.6021,-788.494,-630.7952
0.1501,661.7631,525.1309,-783.7725,-783.7725
0.1668,648.6741,509.4241,-862.1497,-862.1497
0.1835,632.9673,496.3351,-862.1497,-783.7725
0.2002,619.8783,483.2461,-862.1497,-862.1497
0.2168,604.1715,467.5393,-867.3434,-946.1928
0.2335,591.0825,451.8325,-862.1497,-862.1497
0.2502,575.3757,438.7435,-940.5299,-862.1527
0.2669,559.6688,423.0366,-940.5299,-1018.9072
0.2836,543.962,404.712,-940.5269,-1018.9042
0.3003,528.2552,389.0052,-1018.9042,-940.5269
0.317,509.9306,373.2984,-1018.9042,-1018.9042
0.3336,494.2238,354.9738,-946.1928,-1025.0422
0.3503,478.517,339.267,-1018.9042,-940.5269
0.367,460.1924,323.5602,-1097.2814,-1018.9042
0.3837,441.8678,305.2356,-1097.2814,-1097.2814
0.4004,423.5432,286.911,-1097.2814,-1097.2814
0.4171,405.2186,268.5864,-1097.2814,-1097.2814
0.4337,386.894,250.2618,-1103.8916,-1103.8916
0.4504,368.5694,231.9372,-1175.6587,-1097.2814
0.4671,347.627,213.6126,-1175.6587,-1175.6587
0.4838,329.3024,192.6702,-1175.6617,-1254.0389
0.5005,308.3599,171.7277,-1175.6617,-1175.6617
0.5171,290.0353,153.4031,-1182.741,-1182.741
0.5338,269.0929,132.4607,-1254.0359,-1254.0359
0.5505,248.1505,111.5183,-1254.0359,-1254.0359
0.5672,227.2081,90.5759,-1254.0359,-1332.4132
0.5839,206.2657,67.0157,-1254.0359,-1332.4132
0.6006,185.3233,46.0733,-705.3952,-783.7725
0.6173,182.7055,40.8377,470.2635,548.6407
0.6339,201.0301,64.3979,1182.741,1182.741
0.6506,221.9725,80.1047,1175.6587,1018.9042
0.6673,240.2971,98.4293,1097.2814,1097.2814
0.684,258.6217,116.7539,1175.6587,862.1497
0.7007,279.5641,127.2251,1175.6587,783.7725
0.7174,297.8887,142.9319,1097.2844,783.7725
0.734,316.2134,153.4031,1103.8946,630.7952
0.7507,334.538,163.8743,1097.2814,783.7754
0.7674,352.8626,179.5812,1097.2814,783.7754
0.7841,371.1872,190.0524,1018.9042,627.018
0.8008,386.894,200.5236,1018.9042,705.3952
