timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,966.4751,827.2251,,
0.0166,956.0039,816.7539,-709.6446,-709.6446
0.0333,942.9149,803.6649,-705.3952,-705.3952
0.05,932.4437,793.1937,-627.018,-705.3952
0.0667,921.9725,780.1047,-705.3952,-783.7725
0.0834,908.8835,767.0157,-783.7725,-705.3952
0.1,895.7945,756.5445,-788.494,-709.6446
0.1167,882.7055,743.4555,-783.7725,-783.7725
0.1334,869.6165,730.3665,-783.7725,-862.1497
0.1501,856.5275,714.6597,-783.7725,-862.1497
0.1668,843.4385,701.5707,-783.7725,-783.7725
0.1835,830.3495,688.4817,-862.1497,-862.1497
0.2002,814.6427,672.7749,-940.5269,-940.5269
0.2168,798.9359,657.0681,-946.1928,-867.3434
0.2335,783.2291,643.9791,-940.5269,-862.1497
0.2502,767.5223,628.2723,-940.5299,-940.5299
0.2669,751.8154,612.5654,-940.5299,-940.5299
0.2836,736.1086,596.8586,-940.5269,-1018.9042
0.3003,720.4018,578.534,-940.5269,-1018.9042
0.3169,704.695,562.8272,-1025.0422,-1025.0422
0.3336,686.3704,544.5026,-1018.9042,-1018.9042
0.3503,670.6636,528.7958,-1018.9042,-1018.9042
0.367,652.339,510.4712,-1097.2814,-1097.2814
0.3837,634.0144,492.1466,-1097.2814,-1097.2814
0.4003,615.6898,473.822,-1103.8916,-1103.8916
0.417,597.3652,455.4974,-1175.6587,-1175.6587
0.4337,576.4228,434.555,-1175.6587,-1175.6587
0.4504,558.0982,416.2304,-1175.6587,-1097.2814
0.4671,537.1558,397.9058,-1175.6587,-1175.6587
0.4838,518.8312,376.9634,-1175.6617,-1254.0389
0.5005,497.8887,356.0209,-1254.0389,-1175.6617
0.5171,476.9463,337.6963,-1261.5904,-1182.741
0.5338,456.0039,316.7539,-1254.0359,-1332.4132
0.5505,435.0615,293.1937,-1254.0359,-1332.4132
0.5672,414.1191,272.2513,-1332.4132,-1254.0359
0.5839,390.5589,251.3089,-1332.4132,-1332.4132
0.6006,369.6165,227.7487,-1332.4132,-1332.4132
0.6172,346.0563,206.8063,-1419.2892,-1340.4398
0.6339,322.4961,183.2461,-1410.7904,-1410.7904
0.6506,298.9359,159.6859,-1410.7904,-1410.7904
0.6673,275.3757,136.1257,-1410.7934,-1410.7934
0.684,251.8154,112.5654,-1410.7934,-1410.7934
0.7006,228.2552,89.0052,-1419.2892,-1498.1386
0.7173,204.695,62.8272,-1489.1677,-1489.1677
0.734,178.517,39.267,-1567.5449,-1489.1677
0.7507,152.339,13.089,-1097.2814,-1097.2814
0.7674,141.8678,2.6178,235.1317,156.7545
0.7841,160.1924,18.3246,1332.4132,1254.0359
0.8008,186.3704,44.5026,1567.5449,1332.4132
0.8174,212.5484,62.8272,1576.988,1025.0422
0.8341,238.7264,78.534,1489.1677,940.5269
0.8508,262.2866,94.2408,1489.1707,862.1497
0.8675,288.4647,107.3298,1489.1707,862.1497
0.8842,312.0249,123.0366,1489.1677,862.1527
0.9009,338.2029,136.1257,1489.1677,862.1527
0.9175,361.7631,151.8325,1419.2892,867.3434
0.9342,385.3233,164.9215,1410.7904,862.1497
0.9509,408.8835,180.6283,1410.7904,940.5269
0.9676,432.4437,196.3351,1332.4132,862.1497
0.9843,453.3861,209.4241,1332.4132,783.7725
1.0009,476.9463,222.5131,1419.2892,709.6446
1.0176,500.5065,232.9843,1332.4162,705.3952
