timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,661.2395,527.2251,,
0.0167,650.7683,516.7539,-627.018,-705.3952
0.0334,640.2971,503.6649,-627.018,-705.3952
0.0501,629.8259,493.1937,-705.3952,-627.018
0.0668,616.7369,482.7225,-783.7725,-705.3952
0.0835,603.6479,469.6335,-783.7725,-783.7725
0.1001,590.5589,456.5445,-709.6446,-788.494
0.1168,580.0877,443.4555,-705.3952,-783.7725
0.1335,566.9987,430.3665,-862.1497,-783.7725
0.1502,551.2919,417.2775,-862.1497,-783.7725
0.1669,538.2029,404.1885,-783.7725,-783.7725
0.1835,525.1139,391.0995,-867.3434,-867.3434
0.2002,509.4071,375.3927,-862.1497,-940.5269
0.2169,496.3181,359.6859,-862.1497,-862.1497
0.2336,480.6113,346.5969,-940.5269,-862.1497
0.2503,464.9045,330.8901,-940.5299,-940.5299
0.267,449.1976,315.1832,-940.5299,-940.5299
0.2837,433.4908,299.4764,-940.5269,-940.5269
0.3003,417.784,283.7696,-946.1928,-946.1928
0.317,402.0772,268.0628,-1018.9042,-1018.9042
0.3337,383.7526,249.7382,-1018.9042,-1018.9042
0.3504,368.0458,234.0314,-1018.9042,-1018.9042
0.3671,349.7212,215.7068,-1097.2814,-1097.2814
0.3838,331.3966,197.3822,-1097.2814,-1097.2814
0.4004,313.072,179.0576,-1025.0422,-1103.8916
0.4171,297.3652,160.733,-1097.2814,-1097.2814
0.4338,276.4228,142.4084,-1175.6587,-1097.2814
0.4505,258.0982,124.0838,-1097.2814,-1175.6587
0.4672,239.7736,103.1414,-1175.6587,-1175.6587
0.4838,218.8312,84.8168,-1103.8946,-1103.8946
0.5005,203.1243,66.4921,-313.512,-391.8892
0.5172,208.3599,71.7277,705.3982,705.3982
0.5339,226.6846,90.0524,1097.2844,1097.2844
0.5506,245.0092,108.377,1097.2814,940.5269
0.5673,263.3338,121.466,1097.2814,783.7725
0.584,281.6584,134.555,1097.2814,627.018
0.6006,299.983,142.4084,1103.8916,630.7952
0.6173,318.3076,155.4974,1097.2814,783.7725
0.634,336.6322,168.5864,1018.9042,783.7725
0.6507,352.339,181.6754,1018.9042,705.3952
0.6674,370.6636,192.1466,1018.9042,627.018
0.6841,386.3704,202.6178,1018.9042,627.018
0.7007,404.695,213.089,1025.0422,551.9458
0.7174,420.4018,220.9424,862.1497,548.6407
0.7341,433.4908,231.4136,862.1497,627.018
0.7508,449.1976,241.8848,940.5299,627.018
0.7675,464.9045,252.356,940.5299,548.6407
0.7841,480.6113,260.2094,867.3434,473.0964
0.8008,493.7003,268.0628,862.1497,470.2635
0.8175,509.4071,275.9162,862.1497,470.2635
0.8342,522.4961,283.7696,783.7725,470.2635
0.8509,535.5851,291.623,783.7725,470.2635
0.8676,548.6741,299.4764,783.7725,391.8862
0.8843,561.7631,304.712,783.7725,313.509
0.9009,574.8521,309.9476,709.6446,394.247
0.9176,585.3233,317.801,705.3952,391.8862
0.9343,598.4123,323.0366,705.3952,313.512
0.951,608.8835,328.2723,627.018,313.512
0.9677,619.3547,333.5079,705.3952,313.509
0.9844,632.4437,338.7435,705.3952,313.509
1.001,642.9149,343.9791,630.7952,236.5482
1.0177,653.3861,346.5969,548.6407,235.1317
1.0344,661.2395,351.8325,548.6407,313.509
1.0511,671.7107,357.0681,548.6407,156.7545
1.0678,679.5641,357.0681,548.6407,156.7545
1.0844,690.0353,362.3037,551.9458,157.6988
1.1011,697.8887,362.3037,470.2635,78.3772
1.1178,705.7421,364.9215,470.2635,156.7545
1.1345,713.5955,367.5393,470.2665,156.7545
1.1512,721.449,370.1571,470.2665,156.7545
1.1679,729.3024,372.7749,470.2635,78.3772
1.1846,737.1558,372.7749,391.8862,78.3772
1.2012,742.3914,375.3927,394.247,78.8494
1.2179,750.2448,375.3927,391.8862,0.0
1.2346,755.4804,375.3927,313.509,0.0
1.2513,760.716,375.3927,313.509,0.0
1.268,765.9516,375.3927,313.509,-78.3772
1.2847,771.1872,372.7749,313.509,-78.3772
1.3013,776.4228,372.7749,315.3976,0.0
1.318,781.6584,372.7749,235.1317,-78.3772
1.3347,784.2762,370.1571,156.7545,-156.7545
1.3514,786.894,367.5393,235.1317,-156.7545
1.3681,792.1296,364.9215,235.1317,-156.7545
1.3847,794.7474,362.3037,157.6988,-157.6988
1.4014,797.3652,359.6859,156.7545,-156.7545
1.4181,799.983,357.0681,156.7545,-235.1317
1.4348,802.6008,351.8325,78.3772,-313.509
1.4515,802.6008,346.5969,78.3772,-156.7545
1.4682,805.2186,346.5969,78.3772,-235.1317
1.4848,805.2186,338.7435,0.0,-315.3976
1.5015,805.2186,336.1257,0.0,-235.1317
1.5182,805.2186,330.8901,78.3772,-313.509
1.5349,807.8364,325.6545,0.0,-391.8892
1.5516,805.2186,317.801,-78.3772,-391.8892
1.5683,805.2186,312.5654,0.0,-391.8862
1.585,805.2186,304.712,-78.3772,-391.8862
1.6016,802.6008,299.4764,-78.8494,-315.3976
1.6183,802.6008,294.2408,-78.3772,-391.8862
1.635,799.983,286.3874,-156.7545,-470.2635
1.6517,797.3652,278.534,-156.7545,-548.6407
1.6684,794.7474,268.0628,-156.7545,-548.6407
1.6851,792.1296,260.2094,-235.1317,-470.2635
1.7017,786.894,252.356,-236.5482,-394.247
1.7184,784.2762,247.1204,-235.1317,-548.6407
1.7351,779.0406,234.0314,-235.1317,-705.3952
1.7518,776.4228,223.5602,-235.1317,-548.6407
1.7685,771.1872,215.7068,-313.509,-548.6407
1.7851,765.9516,205.2356,-315.3976,-630.7952
1.8018,760.716,194.7644,-313.509,-627.018
1.8185,755.4804,184.2932,-391.8862,-627.018
1.8352,747.627,173.822,-391.8862,-705.3952
1.8519,742.3914,160.733,-391.8862,-705.3952
1.8686,734.538,150.2618,-391.8862,-705.3952
1.8853,729.3024,137.1728,-391.8862,-627.018
1.9019,721.449,129.3194,-473.0994,-709.6446
1.9186,713.5955,113.6126,-470.2665,-862.1497
1.9353,705.7421,100.5236,-470.2635,-783.7725
1.952,697.8887,87.4346,-548.6407,-627.018
1.9687,687.4175,79.5812,-548.6407,-78.3772
1.9854,679.5641,84.8168,-548.6407,391.8862
2.002,669.0929,92.6702,-630.7952,473.0964
2.0187,658.6217,100.5236,-627.018,548.6407
2.0354,648.1505,110.9948,-627.018,548.6407
2.0521,637.6793,118.8482,-627.018,548.6407
2.0688,627.2081,129.3194,-627.018,470.2635
2.0854,616.7369,134.555,-709.6446,394.247
2.1021,603.6479,142.4084,-705.3952,470.2635
2.1188,593.1767,150.2618,-705.3952,391.8862
2.1355,580.0877,155.4974,-783.7725,391.8862
2.1522,566.9987,163.3508,-705.3952,391.8862
2.1689,556.5275,168.5864,-705.3952,313.509
2.1856,543.4385,173.822,-862.1497,391.8862
2.2022,527.7317,181.6754,-867.3434,473.0964
2.2189,514.6427,189.5288,-783.7725,313.509
2.2356,501.5537,192.1466,-862.1497,156.7545
2.2523,485.8469,194.7644,-940.5269,235.1317
2.269,470.1401,200.0,-940.5299,235.1317
2.2857,454.4332,202.6178,-940.5299,313.509
2.3023,438.7264,210.4712,-946.1928,315.3976
2.319,423.0196,213.089,-940.5269,156.7545
2.3357,407.3128,215.7068,-1018.9042,78.3772
2.3524,388.9882,215.7068,-1018.9042,78.3772
2.3691,373.2814,218.3246,-1018.9042,156.7545
2.3857,354.9568,220.9424,-1103.8916,236.5482
2.4024,336.6322,226.178,-1097.2814,156.7545
2.4191,318.3076,226.178,-1097.2814,0.0
2.4358,299.983,226.178,-1175.6587,0.0
2.4525,279.0406,226.178,-1018.9042,0.0
2.4692,265.9516,226.178,-940.5269,78.3772
2.4859,247.627,228.7958,-1332.4132,0.0
2.5025,221.449,226.178,-1419.2922,-78.8494
2.5192,200.5065,226.178,-1175.6617,0.0
2.5359,182.1819,226.178,-1175.6587,0.0
2.5526,161.2395,226.178,-1254.0359,0.0
2.5693,140.2971,226.178,-1254.0359,-78.3772
2.586,119.3547,223.5602,-1410.7904,-235.1317
2.6026,93.1767,218.3246,-1419.2892,-157.6988
2.6193,72.2343,218.3246,-1332.4132,-78.3772
2.636,48.6741,215.7068,-1410.7904,-235.1317
2.6527,25.1139,210.4712,-1410.7904,0.0
2.6694,1.5537,215.7068,-1410.7904,-156.7545
2.686,-22.0065,205.2356,-1340.4428,-473.0964
2.7027,-42.949,200.0,-470.2665,-235.1317
2.7194,-37.7134,197.3822,548.6437,-156.7545
2.7361,-24.6243,194.7644,705.3982,-313.509
2.7528,-14.1531,186.911,705.3952,-313.509
2.7695,-1.0641,184.2932,783.7725,-235.1317
2.7862,12.0249,179.0576,705.3952,-313.509
2.8028,22.4961,173.822,709.6446,-315.3976
2.8195,35.5851,168.5864,705.3952,-391.8862
2.8362,46.0563,160.733,705.3952,-470.2635
2.8529,59.1453,152.8796,705.3952,-391.8862
2.8696,69.6165,147.644,548.6407,-313.509
2.8863,77.4699,142.4084,470.2635,-470.2635
2.9029,85.3233,131.9372,473.0964,-473.0964
2.9196,93.1767,126.7016,548.6407,-470.2635
2.9363,103.6479,116.2304,627.018,-313.509
2.953,114.1191,116.2304,470.2635,-470.2635
2.9697,119.3547,100.5236,391.8862,-783.7725
2.9863,127.2081,90.0524,473.0964,-315.3976
3.003,135.0615,90.0524,391.8862,0.0
3.0197,140.2971,90.0524,391.8862,313.509
3.0364,148.1505,100.5236,470.2635,313.509
3.0531,156.0039,100.5236,391.8862,235.1317
3.0698,161.2395,108.377,313.509,313.509
3.0865,166.4751,110.9948,313.509,235.1317
3.1031,171.7107,116.2304,315.3976,315.3976
3.1198,176.9463,121.466,313.509,313.509
3.1365,182.1819,126.7016,313.509,235.1317
3.1532,187.4175,129.3194,235.1317,156.7545
3.1699,190.0353,131.9372,156.7545,156.7545
3.1866,192.6531,134.555,235.1317,235.1317
3.2032,197.8887,139.7906,236.5482,236.5482
3.2199,200.5065,142.4084,156.7545,156.7545
3.2366,203.1243,145.0262,78.3772,156.7545
3.2533,203.1243,147.644,78.3772,156.7545
3.27,205.7421,150.2618,156.7545,156.7545
3.2866,208.3599,152.8796,78.8494,78.8494
3.3033,208.3599,152.8796,0.0,0.0
3.32,208.3599,152.8796,78.3772,78.3772
3.3367,210.9777,155.4974,78.3772,78.3772
3.3534,210.9777,155.4974,-78.3772,0.0
3.3701,208.3599,155.4974,-78.3772,235.1317
3.3868,208.3599,163.3508,0.0,0.0
3.4034,208.3599,155.4974,-78.8494,-236.5482
3.4201,205.7421,155.4974,-78.3772,-78.3772
3.4368,205.7421,152.8796,-78.3772,-78.3772
3.4535,203.1243,152.8796,-156.7545,-78.3772
3.4702,200.5065,150.2618,-156.7545,-156.7545
3.4869,197.8887,147.644,-235.1317,-156.7545
3.5035,192.6531,145.0262,-236.5482,-157.6988
3.5202,190.0353,142.4084,-156.7545,-156.7545
3.5369,187.4175,139.7906,-235.1317,-156.7545
3.5536,182.1819,137.1728,-235.1317,-235.1317
3.5703,179.5641,131.9372,-235.1317,-313.509
3.5869,174.3285,126.7016,-315.3976,-236.5482
3.6036,169.0929,124.0838,-313.509,-156.7545
3.6203,163.8573,121.466,-391.8862,-235.1317
3.637,156.0039,116.2304,-391.8862,-313.509
3.6537,150.7683,110.9948,-391.8862,-235.1317
3.6704,142.9149,108.377,-391.8862,-313.509
3.6871,137.6793,100.5236,-391.8862,-470.2635
3.7037,129.8259,92.6702,-473.0964,-315.3976
