timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,458.6217,321.9895,,
0.0166,448.1505,311.5183,-709.6446,-709.6446
0.0333,435.0615,298.4293,-705.3952,-783.7725
0.05,424.5903,285.3403,-627.018,-705.3952
0.0667,414.1191,274.8691,-705.3952,-627.018
0.0834,401.0301,264.3979,-783.7725,-705.3952
0.1,387.9411,251.3089,-709.6446,-788.494
0.1167,377.4699,238.2199,-705.3952,-705.3952
0.1334,364.3809,227.7487,-783.7725,-705.3952
0.1501,351.2919,214.6597,-862.1497,-783.7725
0.1668,335.5851,201.5707,-862.1497,-862.1497
0.1835,322.4961,185.8639,-783.7725,-862.1497
0.2002,309.4071,172.7749,-862.1497,-862.1497
0.2168,293.7003,157.0681,-946.1928,-867.3434
0.2335,277.9935,143.9791,-862.1497,-862.1497
0.2502,264.9045,128.2723,-862.1527,-940.5299
0.2669,249.1976,112.5654,-940.5299,-940.5299
0.2836,233.4908,96.8586,-470.2635,-470.2635
0.3003,233.4908,96.8586,391.8862,313.509
0.3169,246.5798,107.3298,709.6446,709.6446
0.3336,257.051,120.4188,705.3982,705.3982
0.3503,270.1401,130.8901,705.3982,627.021
0.367,280.6113,141.3613,705.3952,627.018
0.3837,293.7003,151.8325,705.3952,548.6407
0.4003,304.1715,159.6859,630.7952,709.6446
0.417,314.6427,175.3927,627.018,627.018
0.4337,325.1139,180.6283,627.018,391.8862
0.4504,335.5851,188.4817,548.6407,470.2635
0.4671,343.4385,196.3351,548.6407,470.2635
0.4838,353.9097,204.1885,548.6407,470.2635
0.5004,361.7631,212.0419,473.0964,551.9458
0.5171,369.6165,222.5131,470.2635,470.2635
0.5338,377.4699,227.7487,548.6407,313.509
0.5505,387.9411,232.9843,470.2635,313.509
0.5672,393.1767,238.2199,391.8862,391.8862
0.5839,401.0301,246.0733,470.2635,470.2635
0.6006,408.8835,253.9267,391.8862,391.8862
0.6172,414.1191,259.1623,394.247,315.3976
0.6339,421.9725,264.3979,391.8862,235.1317
0.6506,427.2081,267.0157,313.509,235.1317
0.6673,432.4437,272.2513,313.509,313.509
0.684,437.6793,277.4869,313.509,235.1317
0.7007,442.9149,280.1047,313.509,156.7545
0.7173,448.1505,282.7225,315.3976,157.6988
0.734,453.3861,285.3403,235.1317,235.1317
0.7507,456.0039,290.5759,156.7545,235.1317
0.7674,458.6217,293.1937,235.1317,156.7545
0.7841,463.8573,295.8115,235.1317,78.3772
0.8007,466.4751,295.8115,157.6988,236.5482
0.8174,469.0929,303.6649,156.7545,78.3772
0.8341,471.7107,298.4293,156.7545,-156.7545
0.8508,474.3285,298.4293,78.3772,78.3772
0.8675,474.3285,301.0471,78.3772,78.3772
0.8842,476.9463,301.0471,78.3772,78.3772
0.9009,476.9463,303.6649,78.3772,78.3772
0.9175,479.5641,303.6649,78.8494,-78.8494
0.9342,479.5641,301.0471,0.0,-78.3772
0.9509,479.5641,301.0471,0.0,-78.3772
0.9676,479.5641,298.4293,0.0,-78.3772
0.9843,479.5641,298.4293,-78.3772,-78.3772
1.001,476.9463,295.8115,-78.3772,-78.3772
1.0176,476.9463,295.8115,-78.8494,-78.8494
1.0343,474.3285,293.1937,-156.7545,-235.1317
1.051,471.7107,287.9581,-78.3772,-235.1317
1.0677,471.7107,285.3403,-78.3772,-156.7545
1.0844,469.0929,282.7225,-156.7545,-235.1317
1.101,466.4751,277.4869,-236.5482,-315.3976
1.1177,461.2395,272.2513,-235.1317,-156.7545
1.1344,458.6217,272.2513,-156.7545,-235.1317
1.1511,456.0039,264.3979,-235.1317,-391.8862
1.1678,450.7683,259.1623,-156.7545,-235.1317
1.1845,450.7683,256.5445,-156.7545,-313.509
